DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column,Region,Divison,State,Region Rank,Divison Rank
292,HEART FAILURE & SHOCK W CC,AL,Dothan,AL - Dothan,127,23730.96,5506.11,4585.24,5,7,South,South - East South Central,Alabama,3,6
292,HEART FAILURE & SHOCK W CC,AL,Birmingham,AL - Birmingham,81,11886.62,5678.46,4759.02,5,7,South,South - East South Central,Alabama,3,6
292,HEART FAILURE & SHOCK W CC,AL,Birmingham,AL - Birmingham,79,24210.29,5254.2,4346.8,5,7,South,South - East South Central,Alabama,3,6
292,HEART FAILURE & SHOCK W CC,AL,Dothan,AL - Dothan,20,9808.45,5416.65,4732.45,5,7,South,South - East South Central,Alabama,3,6
292,HEART FAILURE & SHOCK W CC,AL,Birmingham,AL - Birmingham,51,22553.59,5979.98,5055.45,5,7,South,South - East South Central,Alabama,3,6
292,HEART FAILURE & SHOCK W CC,AL,Birmingham,AL - Birmingham,27,32537.67,5186.59,4358.0,5,7,South,South - East South Central,Alabama,3,6
292,HEART FAILURE & SHOCK W CC,AL,Birmingham,AL - Birmingham,92,32604.1,6455.28,4597.6,5,7,South,South - East South Central,Alabama,3,6
292,HEART FAILURE & SHOCK W CC,AL,Birmingham,AL - Birmingham,115,19724.61,5380.07,4491.56,5,7,South,South - East South Central,Alabama,3,6
292,HEART FAILURE & SHOCK W CC,AL,Dothan,AL - Dothan,12,10631.5,6081.33,5042.33,5,7,South,South - East South Central,Alabama,3,6
292,HEART FAILURE & SHOCK W CC,AL,Montgomery,AL - Montgomery,168,17693.21,6466.71,5716.03,5,7,South,South - East South Central,Alabama,3,6
292,HEART FAILURE & SHOCK W CC,AL,Montgomery,AL - Montgomery,139,21124.21,5722.94,4755.99,5,7,South,South - East South Central,Alabama,3,6
292,HEART FAILURE & SHOCK W CC,AL,Birmingham,AL - Birmingham,177,12020.01,5683.45,4762.75,5,7,South,South - East South Central,Alabama,3,6
292,HEART FAILURE & SHOCK W CC,AL,Birmingham,AL - Birmingham,142,27637.29,7643.35,6873.11,5,7,South,South - East South Central,Alabama,3,6
292,HEART FAILURE & SHOCK W CC,AL,Montgomery,AL - Montgomery,19,10014.95,5691.42,4904.89,5,7,South,South - East South Central,Alabama,3,6
292,HEART FAILURE & SHOCK W CC,AL,Birmingham,AL - Birmingham,107,20934.03,6390.1,5490.5,5,7,South,South - East South Central,Alabama,3,6
