DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column,Region,Divison,State,Region Rank,Divison Rank
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,AL,Dothan,AL - Dothan,72,21486.06,4638.67,3484.21,5,7,South,South - East South Central,Alabama,3,6
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,AL,Birmingham,AL - Birmingham,80,9424.14,4651.48,3577.63,5,7,South,South - East South Central,Alabama,3,6
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,AL,Birmingham,AL - Birmingham,89,17698.57,4404.26,3133.43,5,7,South,South - East South Central,Alabama,3,6
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,AL,Dothan,AL - Dothan,51,8335.35,4472.63,3643.84,5,7,South,South - East South Central,Alabama,3,6
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,AL,Montgomery,AL - Montgomery,21,12837.24,5306.81,4357.29,5,7,South,South - East South Central,Alabama,3,6
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,AL,Birmingham,AL - Birmingham,59,23509.32,5026.58,3697.19,5,7,South,South - East South Central,Alabama,3,6
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,AL,Birmingham,AL - Birmingham,28,26005.21,4213.11,3220.89,5,7,South,South - East South Central,Alabama,3,6
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,AL,Birmingham,AL - Birmingham,42,23236.45,4479.4,3556.74,5,7,South,South - East South Central,Alabama,3,6
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,AL,Birmingham,AL - Birmingham,50,16503.86,4570.32,3399.88,5,7,South,South - East South Central,Alabama,3,6
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,AL,Dothan,AL - Dothan,14,10184.43,5029.21,4051.79,5,7,South,South - East South Central,Alabama,3,6
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,AL,Montgomery,AL - Montgomery,47,23585.47,5731.68,4191.89,5,7,South,South - East South Central,Alabama,3,6
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,AL,Montgomery,AL - Montgomery,87,17278.13,4749.67,3686.39,5,7,South,South - East South Central,Alabama,3,6
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,AL,Birmingham,AL - Birmingham,109,9640.64,4635.06,3645.39,5,7,South,South - East South Central,Alabama,3,6
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,AL,Birmingham,AL - Birmingham,11,14856.82,4637.45,3725.09,5,7,South,South - East South Central,Alabama,3,6
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,AL,Birmingham,AL - Birmingham,80,19534.83,7595.14,4686.18,5,7,South,South - East South Central,Alabama,3,6
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,AL,Montgomery,AL - Montgomery,22,9069.64,4943.32,3293.18,5,7,South,South - East South Central,Alabama,3,6
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,AL,Birmingham,AL - Birmingham,64,15114.89,5111.38,3925.23,5,7,South,South - East South Central,Alabama,3,6
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,FL,Pensacola,FL - Pensacola,29,20217.76,4155.83,3210.59,7,9,South,South Atlantic,Florida,3,5
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,AL,Birmingham,AL - Birmingham,64,27973.58,4496.41,2988.73,5,7,South,South - East South Central,Alabama,3,6
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,AL,Huntsville,AL - Huntsville,183,23245.67,4918.96,3928.29,5,7,South,South - East South Central,Alabama,3,6
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,AL,Birmingham,AL - Birmingham,118,58684.19,5016.87,3725.84,5,7,South,South - East South Central,Alabama,3,6
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,MS,Tupelo,MS - Tupelo,13,12469.62,5052.69,3993.31,6,8,South,South - East South Central,Mississippi,3,6
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,AL,Tuscaloosa,AL - Tuscaloosa,17,12782.53,4943.71,3998.29,5,7,South,South - East South Central,Alabama,3,6
