DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column,Region,Divison,State
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Dothan,AL - Dothan,66,25327.29,5497.58,4304.65,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,124,15213.94,5799.86,4508.18,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,94,25207.12,5518.98,4005.89,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Dothan,AL - Dothan,37,11305.97,5538.86,4559.62,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Montgomery,AL - Montgomery,16,19897.81,6426.75,5329.75,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,43,27327.72,5824.77,4985.23,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,37,42562.41,5178.86,4110.84,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,64,27438.06,5986.25,4110.64,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,62,24114.15,5791.23,4248.79,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Dothan,AL - Dothan,13,13577.85,5703.62,4640.85,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Rome,GA - Rome,17,24269.76,6931.29,5957.71,6,7,South,South Atlantic,Georgia
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Montgomery,AL - Montgomery,39,26671.23,6439.9,5578.87,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Montgomery,AL - Montgomery,94,28924.69,5837.81,4439.98,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,82,12171.16,5736.43,4485.59,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,13,15015.54,6989.46,4445.23,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,94,27202.55,8345.06,6130.45,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Montgomery,AL - Montgomery,19,9287.79,6015.95,4327.47,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,51,21612.88,6382.71,5008.76,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Pensacola,FL - Pensacola,56,26692.7,5187.14,4191.73,7,9,South,South Atlantic,Florida
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,31,33323.03,5032.32,4110.26,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Huntsville,AL - Huntsville,164,35211.52,6457.0,4765.41,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,110,70051.64,5825.6,4602.25,5,7,South,South - East South Central,Alabama
