DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column,Region,Divison,State,Region Rank,Divison Rank
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Dothan,AL - Dothan,304,44105.36,9739.93,8832.46,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Birmingham,AL - Birmingham,161,22404.83,10186.75,8863.24,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Birmingham,AL - Birmingham,249,48117.04,9378.84,8233.13,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Dothan,AL - Dothan,12,13743.75,10000.42,9486.42,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Birmingham,AL - Birmingham,122,54155.42,10639.22,9765.8,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Birmingham,AL - Birmingham,29,55524.07,9693.72,8373.31,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Birmingham,AL - Birmingham,151,54757.98,10340.97,8949.74,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Birmingham,AL - Birmingham,203,36237.5,9607.21,8409.28,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Dothan,AL - Dothan,34,16776.21,9767.82,9144.29,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Montgomery,AL - Montgomery,159,47084.8,11174.81,10404.03,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Montgomery,AL - Montgomery,171,45066.99,10112.61,8910.45,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Birmingham,AL - Birmingham,333,19999.25,10109.6,8979.63,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Birmingham,AL - Birmingham,624,58923.83,13910.33,11343.85,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Montgomery,AL - Montgomery,33,18364.85,10474.76,9586.15,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Birmingham,AL - Birmingham,221,35466.74,12140.26,10818.72,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,FL,Pensacola,FL - Pensacola,91,43933.25,9191.12,8310.13,7,9,South,South Atlantic,Florida,3,5
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Birmingham,AL - Birmingham,32,54403.75,8596.0,7337.13,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Huntsville,AL - Huntsville,649,58222.4,11305.62,9506.81,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Birmingham,AL - Birmingham,206,147792.14,10390.99,9373.78,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Tuscaloosa,AL - Tuscaloosa,19,21883.53,10678.89,10018.05,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Birmingham,AL - Birmingham,240,106556.2,9579.7,8699.2,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Dothan,AL - Dothan,22,58680.05,8448.32,7231.59,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Birmingham,AL - Birmingham,15,7947.47,9675.33,9015.07,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Dothan,AL - Dothan,134,71847.69,10216.23,9048.18,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Birmingham,AL - Birmingham,216,53221.13,9478.09,8241.37,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Birmingham,AL - Birmingham,32,18433.19,10407.63,8979.03,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Huntsville,AL - Huntsville,38,25989.87,9929.47,9011.47,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Birmingham,AL - Birmingham,116,17564.19,9614.87,8676.76,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Dothan,AL - Dothan,11,24871.91,11518.55,10835.27,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Birmingham,AL - Birmingham,171,56297.15,9337.64,8378.03,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Huntsville,AL - Huntsville,53,29809.66,9947.32,9098.11,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Mobile,AL - Mobile,54,89743.65,9840.7,8289.57,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Huntsville,AL - Huntsville,136,22840.17,9444.79,7975.29,5,7,South,South - East South Central,Alabama,3,6
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AL,Birmingham,AL - Birmingham,29,38135.52,8843.62,7850.38,5,7,South,South - East South Central,Alabama,3,6
