DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Dothan,AL - Dothan,66,25327.29,5497.58,4304.65,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,124,15213.94,5799.86,4508.18,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,94,25207.12,5518.98,4005.89,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Dothan,AL - Dothan,37,11305.97,5538.86,4559.62,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Montgomery,AL - Montgomery,16,19897.81,6426.75,5329.75,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,43,27327.72,5824.77,4985.23,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,37,42562.41,5178.86,4110.84,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,64,27438.06,5986.25,4110.64,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,62,24114.15,5791.23,4248.79,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Dothan,AL - Dothan,13,13577.85,5703.62,4640.85,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Montgomery,AL - Montgomery,39,26671.23,6439.9,5578.87,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Montgomery,AL - Montgomery,94,28924.69,5837.81,4439.98,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,82,12171.16,5736.43,4485.59,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,13,15015.54,6989.46,4445.23,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,94,27202.55,8345.06,6130.45,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Montgomery,AL - Montgomery,19,9287.79,6015.95,4327.47,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,51,21612.88,6382.71,5008.76,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,31,33323.03,5032.32,4110.26,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Huntsville,AL - Huntsville,164,35211.52,6457.0,4765.41,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,110,70051.64,5825.6,4602.25,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Tuscaloosa,AL - Tuscaloosa,38,17071.66,6047.95,5044.16,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,37,69427.97,5032.27,4136.49,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Montgomery,AL - Montgomery,22,7307.36,5880.45,4914.82,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Dothan,AL - Dothan,22,41550.86,5195.5,3953.32,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,34,6846.29,5475.59,4487.94,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Dothan,AL - Dothan,74,37725.68,5485.28,4111.97,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,64,26853.55,5588.7,3518.73,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Tuscaloosa,AL - Tuscaloosa,23,10069.13,6152.26,5281.48,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,23,13911.52,6342.22,5148.48,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Huntsville,AL - Huntsville,92,15291.16,5485.17,4573.3,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Dothan,AL - Dothan,25,9979.28,5763.52,4771.36,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,35,12140.6,5383.0,4349.06,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Dothan,AL - Dothan,28,19701.79,6870.32,4798.71,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,15,16771.8,6197.6,5117.33,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,50,29972.66,5394.96,3966.88,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Huntsville,AL - Huntsville,59,14995.31,5977.39,4710.14,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Mobile,AL - Mobile,45,49177.36,5395.24,4313.91,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Huntsville,AL - Huntsville,96,11403.23,5232.56,4118.49,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,53,26827.51,5102.87,4028.96,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,74,26588.51,5669.7,4565.34,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Mobile,AL - Mobile,101,19590.04,5592.2,4226.84,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Mobile,AL - Mobile,11,7392.36,5396.73,4606.91,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Tuscaloosa,AL - Tuscaloosa,226,24942.29,6256.66,4929.11,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Tuscaloosa,AL - Tuscaloosa,21,8334.76,6941.1,5929.48,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Montgomery,AL - Montgomery,17,8211.0,6316.76,5136.06,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Mobile,AL - Mobile,45,17720.18,6476.87,3131.98,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,21,23632.86,6225.43,5455.9,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,50,40071.96,6256.44,5008.26,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,23,63028.57,6149.26,5172.74,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Montgomery,AL - Montgomery,58,23257.74,5326.4,3913.95,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Tuscaloosa,AL - Tuscaloosa,13,9470.54,8887.15,7831.15,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,22,12132.36,5799.55,4831.91,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Mobile,AL - Mobile,113,19110.88,5729.37,4410.95,5,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,34,27802.0,5731.41,4742.47,5,7
