DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Springdale,AR - Springdale,36,37016.92,6474.17,5130.56,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,57,8394.49,6324.88,5178.81,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Springdale,AR - Springdale,50,28597.62,6157.76,4461.46,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,90,20182.08,5794.86,4613.2,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Springdale,AR - Springdale,54,19524.57,5526.81,4365.89,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,42,6815.55,5358.19,4498.67,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,151,18153.81,5537.86,4364.58,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Fort Smith,AR - Fort Smith,42,12495.1,6453.21,5388.05,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,117,22344.84,10322.86,7907.28,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Springdale,AR - Springdale,38,17713.42,5497.66,4706.5,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Fort Smith,AR - Fort Smith,13,35169.46,5266.0,4206.62,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Jonesboro,AR - Jonesboro,75,8589.87,5843.0,4906.0,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Springdale,AR - Springdale,79,44058.86,6220.57,5258.01,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,135,23523.77,5427.89,4521.7,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,86,15258.78,5493.7,4463.19,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,72,13835.57,5274.08,4184.15,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Jonesboro,AR - Jonesboro,48,22154.5,5398.98,4308.4,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,24,22666.92,5831.88,4744.04,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Jonesboro,AR - Jonesboro,16,9267.13,5659.31,4880.06,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,34,19084.53,5983.12,4759.12,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,70,8927.03,5741.04,4658.17,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Fort Smith,AR - Fort Smith,87,22651.41,5643.15,4581.69,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Fort Smith,AR - Fort Smith,78,19227.4,5915.47,4841.06,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,42,12272.76,7592.81,5849.6,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,91,32617.45,6926.18,5389.75,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,20,9959.95,6371.55,5252.95,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,33,20090.91,5130.12,4246.39,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,25,11536.04,5712.76,4335.44,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,45,44402.58,5616.91,4483.56,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,13,25946.38,5855.46,5190.54,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,40,14258.63,5302.5,4221.4,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,32,46676.97,6043.22,4466.31,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,106,21572.95,6232.84,4568.09,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Jonesboro,AR - Jonesboro,98,24642.6,5226.51,4018.0,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,51,21310.88,5699.2,4845.71,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,18,15150.56,4950.39,3910.17,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,15,22410.6,5177.8,3936.53,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Jonesboro,AR - Jonesboro,43,42990.49,6678.74,5865.44,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Fort Smith,AR - Fort Smith,52,16209.08,5962.27,5167.73,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Texarkana,AR - Texarkana,82,10809.66,6458.61,5494.5,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Fort Smith,AR - Fort Smith,11,8928.18,5964.73,5166.91,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Fort Smith,AR - Fort Smith,31,8267.65,6305.29,5428.35,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Fort Smith,AR - Fort Smith,13,6352.46,11310.54,10264.69,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Texarkana,AR - Texarkana,44,25992.55,5984.23,4738.82,5,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Texarkana,AR - Texarkana,90,29179.76,5361.4,4395.02,5,6
