DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,19,27387.42,9428.63,6770.16,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Tucson,AZ - Tucson,69,23912.72,7104.97,5888.16,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,20,42601.3,9527.35,7588.3,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Tucson,AZ - Tucson,33,27531.48,6233.12,5289.24,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Tucson,AZ - Tucson,55,25561.45,5993.0,4962.76,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,60,24725.58,5934.17,4615.53,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,102,23344.32,6852.75,5785.73,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,44,42826.2,6467.32,5547.27,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,32,27167.69,10040.91,8019.0,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,28,29989.11,7715.11,6864.82,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Mesa,AZ - Mesa,71,38956.17,7028.86,6008.24,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,12,35930.25,7364.25,6122.58,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,85,40209.47,6933.52,5399.27,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Tucson,AZ - Tucson,36,22113.72,8064.11,6706.53,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,71,29895.66,7072.38,6073.24,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Sun City,AZ - Sun City,79,31695.87,5755.43,4748.9,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,33,18999.64,8367.52,7195.88,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Tucson,AZ - Tucson,47,28147.51,10185.94,7903.64,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Mesa,AZ - Mesa,43,30266.33,7978.35,6906.79,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Tucson,AZ - Tucson,20,17846.0,10408.75,9533.35,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,45,35858.6,7309.64,5310.64,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,12,9237.42,11519.0,10266.33,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,18,22863.44,7201.0,5566.22,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Tucson,AZ - Tucson,64,38987.41,6249.2,5256.83,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,137,38754.35,5902.8,4424.07,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Mesa,AZ - Mesa,129,33621.57,5726.85,4625.82,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,48,32453.38,7946.08,6284.23,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,31,33538.32,6377.45,5411.9,5,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Sun City,AZ - Sun City,60,35930.5,6363.1,4874.73,5,3
