DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,Alameda County,CA - Alameda County,23,90027.48,10375.17,9666.83,5,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,Redding,CA - Redding,29,39098.48,7878.93,6810.93,5,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,San Mateo County,CA - San Mateo County,55,43325.8,8541.4,7520.09,5,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,Napa,CA - Napa,51,48607.94,8995.2,7145.14,5,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,Sacramento,CA - Sacramento,37,39961.27,8423.7,7597.7,5,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,Sacramento,CA - Sacramento,29,48668.21,9135.28,8024.45,5,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,Los Angeles,CA - Los Angeles,15,35115.0,12275.87,11360.67,5,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,San Bernardino,CA - San Bernardino,54,73326.72,9681.26,7638.02,5,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,San Diego,CA - San Diego,76,29686.11,12331.3,9541.46,5,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,San Diego,CA - San Diego,79,37970.87,7891.99,6960.19,5,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,Redding,CA - Redding,36,24693.81,7862.72,6817.61,5,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,Bakersfield,CA - Bakersfield,32,53483.44,9469.75,8509.19,5,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,San Jose,CA - San Jose,18,60062.22,16296.39,14847.06,5,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,Chico,CA - Chico,95,44286.46,7210.18,6274.52,5,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,Chico,CA - Chico,38,35544.34,8335.74,7153.63,5,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,Alameda County,CA - Alameda County,38,58981.03,10473.29,9049.16,5,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,San Diego,CA - San Diego,47,36137.38,8233.68,7142.96,5,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,San Francisco,CA - San Francisco,77,50546.25,12638.1,9132.52,5,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,San Bernardino,CA - San Bernardino,26,31687.92,7866.54,6608.88,5,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,San Francisco,CA - San Francisco,32,52846.44,13239.5,9403.19,5,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,Los Angeles,CA - Los Angeles,47,36957.3,9071.55,7705.17,5,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,Bakersfield,CA - Bakersfield,109,26840.72,8274.46,7196.08,5,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,Los Angeles,CA - Los Angeles,61,53844.93,9334.7,8290.23,5,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,Fresno,CA - Fresno,101,35391.01,10859.28,9589.1,5,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,Los Angeles,CA - Los Angeles,32,36281.84,11016.94,9970.72,5,2
