DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Greeley,CO - Greeley,25,22087.92,6647.64,5506.52,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Boulder,CO - Boulder,61,40595.33,6407.67,5426.3,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Denver,CO - Denver,22,23949.77,7098.82,6360.27,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Grand Junction,CO - Grand Junction,35,19519.31,6278.46,5347.49,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Colorado Springs,CO - Colorado Springs,11,18228.73,7246.36,5947.36,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Denver,CO - Denver,29,25788.83,6441.66,5493.38,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Fort Collins,CO - Fort Collins,64,21608.47,6356.05,4988.98,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Pueblo,CO - Pueblo,39,27758.28,6810.18,5040.59,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Denver,CO - Denver,13,58459.85,10050.92,8312.46,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Denver,CO - Denver,34,36972.56,6228.82,5281.47,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Colorado Springs,CO - Colorado Springs,12,20142.17,7749.0,6815.0,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Pueblo,CO - Pueblo,80,29894.84,6245.49,5151.69,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Colorado Springs,CO - Colorado Springs,108,26435.09,6427.94,5391.46,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Grand Junction,CO - Grand Junction,40,31691.93,7068.35,5952.45,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Denver,CO - Denver,39,58523.77,10894.44,8355.62,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Boulder,CO - Boulder,46,34197.76,5467.54,4434.33,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Greeley,CO - Greeley,24,18569.88,5780.58,5002.25,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Colorado Springs,CO - Colorado Springs,85,26968.32,6170.41,5280.15,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Denver,CO - Denver,30,44230.87,7126.97,5682.57,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Denver,CO - Denver,55,46127.71,6774.24,5011.29,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Colorado Springs,CO - Colorado Springs,51,13547.31,6831.82,5662.73,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Denver,CO - Denver,13,23632.31,9252.46,8196.46,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Grand Junction,CO - Grand Junction,58,21397.5,5728.0,4026.53,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Denver,CO - Denver,19,33547.0,6887.84,4654.79,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Denver,CO - Denver,16,47352.25,8505.13,6025.88,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Grand Junction,CO - Grand Junction,51,15387.98,5498.59,4392.0,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Greeley,CO - Greeley,13,14735.0,7700.31,6085.38,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Denver,CO - Denver,49,48513.22,6399.29,5387.57,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Denver,CO - Denver,17,27421.94,7325.94,5886.24,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Denver,CO - Denver,13,50137.69,8267.31,4292.31,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Denver,CO - Denver,62,42859.23,5950.82,4427.02,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Denver,CO - Denver,26,41413.54,6536.38,4303.69,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Boulder,CO - Boulder,19,24204.53,6306.05,3825.84,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Greeley,CO - Greeley,42,18727.07,5228.79,4217.17,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Denver,CO - Denver,17,40756.88,8568.53,4113.0,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Denver,CO - Denver,32,19949.22,7089.63,6088.38,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Fort Collins,CO - Fort Collins,64,21856.92,9221.16,7675.47,4,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,CO,Fort Collins,CO - Fort Collins,29,21049.17,10561.07,9092.0,4,4
