DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,Hartford,CT - Hartford,162,29920.99,8690.79,6809.78,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,Hartford,CT - Hartford,40,16722.4,6889.48,5890.28,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,Hartford,CT - Hartford,32,22191.0,8836.72,7937.97,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,New Haven,CT - New Haven,90,25486.44,7912.08,6285.18,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,Bridgeport,CT - Bridgeport,52,28433.54,8392.58,7088.73,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,New Haven,CT - New Haven,89,15517.96,7630.03,5997.65,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,Hartford,CT - Hartford,53,21849.13,6850.75,5471.08,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,Bridgeport,CT - Bridgeport,45,25579.6,10279.24,8142.04,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,Hartford,CT - Hartford,60,15146.78,6616.68,5762.93,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,New Haven,CT - New Haven,51,14013.14,8358.63,7168.47,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,New Haven,CT - New Haven,39,19311.59,7107.95,5557.59,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,Bridgeport,CT - Bridgeport,66,24163.33,7182.89,5985.53,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,New Haven,CT - New Haven,32,24783.69,6422.16,5367.28,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,Hartford,CT - Hartford,120,30476.18,7585.8,5789.32,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,Hartford,CT - Hartford,16,13692.19,8621.56,7597.63,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,New Haven,CT - New Haven,225,32023.43,11504.08,8967.34,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,Hartford,CT - Hartford,55,15678.65,6864.87,5984.64,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,Hartford,CT - Hartford,69,23900.2,9173.41,6909.96,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,Hartford,CT - Hartford,44,22875.05,7269.27,6158.59,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,Bridgeport,CT - Bridgeport,52,28753.85,8363.71,6844.67,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,Hartford,CT - Hartford,40,17362.73,6629.93,5720.83,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,New Haven,CT - New Haven,44,25623.32,8312.11,6671.61,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,New Haven,CT - New Haven,148,24045.62,8323.84,6659.45,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,Bridgeport,CT - Bridgeport,95,30188.07,8541.05,7069.98,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,Hartford,CT - Hartford,61,17319.59,7417.46,6137.97,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,Hartford,CT - Hartford,59,24226.37,12330.27,10282.97,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,Hartford,CT - Hartford,14,8204.21,6259.07,5548.5,4,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,CT,New Haven,CT - New Haven,33,23173.0,6872.97,5538.55,4,11
