DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,DC,Washington,DC - Washington,52,47666.42,11188.87,8484.15,5,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,DC,Washington,DC - Washington,16,26448.19,14329.19,10035.31,5,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,DC,Washington,DC - Washington,33,29805.73,10577.06,6799.91,5,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,DC,Washington,DC - Washington,88,19716.89,5850.89,4187.6,5,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,DC,Washington,DC - Washington,51,20667.06,8337.0,6906.08,5,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,DC,Washington,DC - Washington,31,19859.52,8167.29,7363.61,5,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,DC,Washington,DC - Washington,103,30702.8,9068.01,6722.24,5,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,DC,Washington,DC - Washington,264,8379.66,7774.88,6629.84,5,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,DC,Washington,DC - Washington,183,8477.1,7854.97,6518.7,5,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,DC,Washington,DC - Washington,143,7005.48,6526.65,5277.43,5,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,DC,Washington,DC - Washington,263,8190.93,7591.0,6512.33,5,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,DC,Washington,DC - Washington,179,9950.18,9193.4,8249.9,5,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,DC,Washington,DC - Washington,71,8871.2,8233.52,7085.99,5,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,DC,Washington,DC - Washington,97,10314.28,9549.96,8423.79,5,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,DC,Washington,DC - Washington,87,9865.3,9108.0,8102.3,5,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,DC,Washington,DC - Washington,74,9375.97,8676.99,7598.55,5,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,DC,Washington,DC - Washington,29,8037.66,7500.28,5873.07,5,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,DC,Washington,DC - Washington,100,8793.1,8131.07,7181.09,5,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,DC,Washington,DC - Washington,28,9739.0,8993.04,7917.75,5,11
