DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Pensacola,FL - Pensacola,56,26692.7,5187.14,4191.73,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Pensacola,FL - Pensacola,34,14054.12,5778.94,4936.94,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Pensacola,FL - Pensacola,23,21783.22,5457.48,4189.3,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Jacksonville,FL - Jacksonville,45,34565.13,10565.27,8955.6,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Fort Lauderdale,FL - Fort Lauderdale,165,36855.1,6779.92,5704.67,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Orlando,FL - Orlando,125,45707.86,8326.8,7046.07,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Orlando,FL - Orlando,359,40319.71,7354.1,5323.54,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Miami,FL - Miami,70,48365.43,7721.81,6267.66,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Miami,FL - Miami,58,65458.16,7610.16,6659.48,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Fort Myers,FL - Fort Myers,206,32768.61,6443.91,5215.2,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Ormond Beach,FL - Ormond Beach,28,24887.86,5215.32,4458.18,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Ormond Beach,FL - Ormond Beach,90,22024.96,7581.73,5446.71,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Fort Myers,FL - Fort Myers,237,25515.44,5704.62,4658.24,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Orlando,FL - Orlando,115,26423.22,5986.85,4735.19,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Miami,FL - Miami,65,33090.18,16745.69,12534.72,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Ocala,FL - Ocala,79,50891.37,5156.72,4146.54,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Pensacola,FL - Pensacola,106,18896.8,6846.48,5520.4,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Panama City,FL - Panama City,67,30016.85,5572.54,4586.15,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Orlando,FL - Orlando,63,24358.46,5630.76,4700.54,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Miami,FL - Miami,79,54720.9,7738.84,6788.28,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Orlando,FL - Orlando,37,47494.97,6587.97,5510.49,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,St. Petersburg,FL - St. Petersburg,32,48155.03,7780.88,6811.47,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Miami,FL - Miami,106,40805.97,8864.58,7084.72,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Bradenton,FL - Bradenton,55,34803.04,7079.07,5606.47,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Miami,FL - Miami,96,48036.27,8406.56,7259.69,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Fort Lauderdale,FL - Fort Lauderdale,55,26833.95,10247.35,9042.04,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Jacksonville,FL - Jacksonville,99,24687.23,6039.18,4812.14,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Clearwater,FL - Clearwater,41,29418.76,5627.54,4668.61,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Fort Lauderdale,FL - Fort Lauderdale,218,36446.71,5406.03,4023.66,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Orlando,FL - Orlando,36,22582.86,5924.94,4852.17,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Tampa,FL - Tampa,29,27945.45,5551.52,4522.41,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Fort Myers,FL - Fort Myers,46,48376.76,5533.17,4563.35,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Pensacola,FL - Pensacola,11,26627.45,6893.36,5028.0,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Orlando,FL - Orlando,29,28306.83,5374.41,4345.31,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Miami,FL - Miami,137,33544.04,6813.12,5975.36,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Orlando,FL - Orlando,51,41766.14,5962.63,4539.02,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Orlando,FL - Orlando,103,30766.49,5748.77,4819.25,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Miami,FL - Miami,54,73090.04,8446.96,7628.0,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Clearwater,FL - Clearwater,25,25776.08,5518.72,4418.72,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Orlando,FL - Orlando,79,21232.05,5575.54,4559.15,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Ocala,FL - Ocala,149,24451.51,5609.18,4497.11,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Hudson,FL - Hudson,51,30704.51,6478.53,5580.8,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,St. Petersburg,FL - St. Petersburg,106,33262.79,6039.92,5006.17,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Ormond Beach,FL - Ormond Beach,73,20787.16,5700.99,4712.55,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Tampa,FL - Tampa,21,30490.38,5728.76,4955.05,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Sarasota,FL - Sarasota,110,32030.25,5170.55,4081.71,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Hudson,FL - Hudson,45,70021.24,6349.18,5293.0,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Orlando,FL - Orlando,45,24410.64,5790.93,4363.0,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Fort Lauderdale,FL - Fort Lauderdale,97,26506.58,5554.27,4604.61,7,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Tampa,FL - Tampa,129,31712.5,7768.92,6603.0,7,9
