DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Rome,GA - Rome,17,24269.76,6931.29,5957.71,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Atlanta,GA - Atlanta,72,26207.64,5995.78,4954.32,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Macon,GA - Macon,21,18099.95,6491.81,5090.38,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Atlanta,GA - Atlanta,67,33028.36,6308.73,4949.4,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Atlanta,GA - Atlanta,46,19645.52,5765.98,4646.37,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Albany,GA - Albany,98,19816.95,7007.39,5819.52,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Atlanta,GA - Atlanta,59,30213.75,6144.8,5121.54,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Atlanta,GA - Atlanta,71,19868.03,7865.44,6136.51,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Atlanta,GA - Atlanta,24,15427.42,6156.33,4504.04,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Atlanta,GA - Atlanta,11,17011.64,6426.55,5373.27,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Atlanta,GA - Atlanta,31,17182.81,6300.03,5070.35,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Atlanta,GA - Atlanta,51,14023.53,5813.98,4835.8,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Rome,GA - Rome,16,25568.81,5837.56,4827.56,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Savannah,GA - Savannah,61,30299.82,6442.62,5492.23,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Atlanta,GA - Atlanta,29,9714.24,5457.83,4289.66,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Atlanta,GA - Atlanta,32,17882.31,6326.97,5280.09,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Augusta,GA - Augusta,98,20519.28,6285.68,5274.18,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Atlanta,GA - Atlanta,131,28077.15,6359.35,5002.84,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Atlanta,GA - Atlanta,40,45327.78,6962.48,4450.88,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Atlanta,GA - Atlanta,47,38111.66,6414.7,4836.26,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Atlanta,GA - Atlanta,76,18151.04,6209.72,5097.0,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Augusta,GA - Augusta,60,22823.08,9456.62,8393.12,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Atlanta,GA - Atlanta,218,27789.23,6225.7,4911.65,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Savannah,GA - Savannah,31,16283.48,7220.84,6075.39,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Augusta,GA - Augusta,18,34996.39,6089.17,4593.89,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Atlanta,GA - Atlanta,19,12958.63,6339.16,5438.11,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Atlanta,GA - Atlanta,71,13361.42,5519.17,4426.39,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Atlanta,GA - Atlanta,45,21081.84,5687.18,4502.11,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Savannah,GA - Savannah,39,26353.87,5510.67,4603.9,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Albany,GA - Albany,24,17189.04,5992.71,5214.38,6,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,GA,Atlanta,GA - Atlanta,20,32094.5,6494.75,5183.9,6,7
