DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,HI,Honolulu,HI - Honolulu,64,25667.58,10822.75,8561.41,8,1
194,SIMPLE PNEUMONIA & PLEURISY W CC,HI,Honolulu,HI - Honolulu,41,21610.9,12770.95,11639.24,8,1
194,SIMPLE PNEUMONIA & PLEURISY W CC,HI,Honolulu,HI - Honolulu,19,18119.42,8923.89,7581.21,8,1
194,SIMPLE PNEUMONIA & PLEURISY W CC,HI,Honolulu,HI - Honolulu,37,19305.22,9926.38,8742.81,8,1
194,SIMPLE PNEUMONIA & PLEURISY W CC,HI,Honolulu,HI - Honolulu,16,23981.44,8747.38,7650.38,8,1
194,SIMPLE PNEUMONIA & PLEURISY W CC,HI,Honolulu,HI - Honolulu,27,25321.7,8227.19,5819.7,8,1
194,SIMPLE PNEUMONIA & PLEURISY W CC,HI,Honolulu,HI - Honolulu,15,14276.8,9492.47,4524.53,8,1
194,SIMPLE PNEUMONIA & PLEURISY W CC,HI,Honolulu,HI - Honolulu,22,31532.68,10910.5,8439.05,8,1
194,SIMPLE PNEUMONIA & PLEURISY W CC,HI,Honolulu,HI - Honolulu,21,17714.62,12747.38,11301.0,8,1
194,SIMPLE PNEUMONIA & PLEURISY W CC,HI,Honolulu,HI - Honolulu,25,37386.64,9813.72,6152.88,8,1
194,SIMPLE PNEUMONIA & PLEURISY W CC,HI,Honolulu,HI - Honolulu,41,28540.88,8507.9,6994.59,8,1
