DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Davenport,IA - Davenport,50,13699.26,5836.52,4839.08,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Davenport,IA - Davenport,91,17897.87,5888.59,4808.52,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Des Moines,IA - Des Moines,51,16331.22,5756.55,4600.88,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Iowa City,IA - Iowa City,33,11589.12,6675.39,5570.18,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Iowa City,IA - Iowa City,37,15908.11,7636.14,6652.62,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Des Moines,IA - Des Moines,54,18098.33,5816.31,4834.72,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Des Moines,IA - Des Moines,41,22939.93,6536.27,5291.83,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Iowa City,IA - Iowa City,37,18986.59,5483.76,4483.68,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Des Moines,IA - Des Moines,116,21865.09,5651.28,4235.96,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Des Moines,IA - Des Moines,36,14266.25,5675.11,4666.47,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Davenport,IA - Davenport,123,14591.21,6033.24,5052.02,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Cedar Rapids,IA - Cedar Rapids,37,16992.57,6086.16,5030.35,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Davenport,IA - Davenport,38,19583.97,5838.95,4915.03,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Iowa City,IA - Iowa City,88,25294.89,9938.31,8184.08,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Mason City,IA - Mason City,117,17820.88,6130.24,4975.34,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Waterloo,IA - Waterloo,45,15016.84,6431.47,5111.16,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Dubuque,IA - Dubuque,62,15900.77,5420.29,4332.61,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Cedar Rapids,IA - Cedar Rapids,166,17603.49,5191.03,4120.02,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Davenport,IA - Davenport,93,23156.38,6518.99,5468.19,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Des Moines,IA - Des Moines,132,27359.84,6729.1,5222.8,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Des Moines,IA - Des Moines,148,26126.09,6677.36,5256.06,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Iowa City,IA - Iowa City,16,16800.19,5827.63,4584.13,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Des Moines,IA - Des Moines,13,23693.31,14168.54,12718.38,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Davenport,IA - Davenport,21,15555.14,5969.81,3844.86,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Waterloo,IA - Waterloo,42,14471.55,5524.24,4483.74,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Dubuque,IA - Dubuque,33,19157.24,5679.91,4226.76,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Iowa City,IA - Iowa City,29,17247.41,6508.62,5432.1,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Sioux City,IA - Sioux City,54,16246.93,6797.81,5606.41,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Des Moines,IA - Des Moines,35,14901.11,5444.14,4249.57,3,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,IA,Sioux City,IA - Sioux City,59,17583.02,5433.0,4263.8,3,6
