DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Peoria,IL - Peoria,36,17457.83,6744.28,5173.47,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Joliet,IL - Joliet,107,33342.47,6280.32,4889.29,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Melrose Park,IL - Melrose Park,42,31061.62,6423.86,5107.9,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Evanston,IL - Evanston,422,29067.07,6959.83,5381.32,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Rockford,IL - Rockford,32,30454.5,6321.25,5381.97,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Peoria,IL - Peoria,72,31278.4,5461.97,4479.74,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Springfield,IL - Springfield,148,23550.35,6638.01,5087.64,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Chicago,IL - Chicago,22,35539.59,11683.82,10292.59,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Springfield,IL - Springfield,35,15752.83,7140.31,6221.91,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Peoria,IL - Peoria,30,25577.07,6991.1,5623.03,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Aurora,IL - Aurora,116,38149.76,7388.02,5634.08,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Elgin,IL - Elgin,94,33155.84,6245.74,5280.81,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Springfield,IL - Springfield,50,15682.02,5625.4,4799.08,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Peoria,IL - Peoria,21,44313.38,5530.95,4697.24,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Rockford,IL - Rockford,48,24784.13,6010.42,5104.5,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Chicago,IL - Chicago,25,32082.0,8341.12,6016.88,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Melrose Park,IL - Melrose Park,21,35043.14,8772.0,6927.14,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Springfield,IL - Springfield,34,21110.88,6692.12,5752.15,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Melrose Park,IL - Melrose Park,60,23271.68,8360.9,6837.73,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Springfield,IL - Springfield,81,27398.67,6551.19,5393.22,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Blue Island,IL - Blue Island,166,29817.06,5728.43,4637.81,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Melrose Park,IL - Melrose Park,34,21405.26,6215.26,5224.5,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Peoria,IL - Peoria,32,23618.91,7517.22,6228.13,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Melrose Park,IL - Melrose Park,93,25431.45,6528.29,4919.61,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Peoria,IL - Peoria,42,23942.6,6774.79,5444.69,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Chicago,IL - Chicago,22,39467.86,8973.0,8064.64,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Evanston,IL - Evanston,56,37557.88,9048.8,6751.52,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Chicago,IL - Chicago,38,27854.39,8335.71,6706.37,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Chicago,IL - Chicago,37,44514.24,11453.19,8763.11,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Springfield,IL - Springfield,60,18063.77,6953.45,5743.12,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Urbana,IL - Urbana,52,30762.15,8885.44,4937.21,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Urbana,IL - Urbana,29,34734.52,6202.66,4910.69,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Chicago,IL - Chicago,15,45546.13,8957.8,7742.33,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Joliet,IL - Joliet,25,24420.16,5602.04,4601.08,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Chicago,IL - Chicago,19,22566.53,8629.53,7625.74,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Peoria,IL - Peoria,32,14634.22,6220.63,5322.0,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Urbana,IL - Urbana,23,28603.83,5790.39,4222.96,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Chicago,IL - Chicago,62,38281.84,7679.11,6361.81,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Elgin,IL - Elgin,67,19314.21,5710.37,4681.27,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Chicago,IL - Chicago,85,36915.11,7094.31,5442.55,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Blue Island,IL - Blue Island,33,28287.48,7558.67,5347.79,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Chicago,IL - Chicago,66,29386.89,10533.05,8222.55,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Peoria,IL - Peoria,59,28404.76,5582.19,4596.47,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Hinsdale,IL - Hinsdale,88,24872.75,6591.7,4852.9,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Chicago,IL - Chicago,25,14464.72,13393.32,11951.72,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Bloomington,IL - Bloomington,21,19308.52,6540.38,4629.62,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Evanston,IL - Evanston,60,34727.68,5494.65,4521.58,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Chicago,IL - Chicago,28,42904.04,6825.64,5964.64,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Springfield,IL - Springfield,89,16137.7,5931.57,4336.72,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Peoria,IL - Peoria,35,21884.06,5566.94,4603.74,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Springfield,IL - Springfield,127,19392.34,6485.85,5110.34,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Chicago,IL - Chicago,39,31708.31,13988.33,9895.54,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Joliet,IL - Joliet,39,35811.38,6252.87,5306.1,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Chicago,IL - Chicago,37,19016.38,9005.92,7141.73,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Rockford,IL - Rockford,114,22786.82,6536.37,4863.38,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Bloomington,IL - Bloomington,41,19377.9,5690.71,4611.98,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Springfield,IL - Springfield,54,20684.67,6089.89,5297.85,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Urbana,IL - Urbana,19,13371.74,7129.05,5880.63,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Blue Island,IL - Blue Island,54,23786.98,7891.52,5316.81,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Aurora,IL - Aurora,46,34431.39,6609.33,5358.09,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Rockford,IL - Rockford,39,18552.15,6181.67,5038.44,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Blue Island,IL - Blue Island,47,29730.0,6242.36,4870.32,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Chicago,IL - Chicago,36,44843.44,9306.47,8195.08,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Chicago,IL - Chicago,32,33858.81,10125.72,7738.31,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Joliet,IL - Joliet,86,20284.47,7147.44,5730.05,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Urbana,IL - Urbana,67,17086.61,5841.39,4659.37,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Blue Island,IL - Blue Island,58,28927.02,6893.81,5618.86,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Chicago,IL - Chicago,16,22551.63,7965.25,6524.88,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Melrose Park,IL - Melrose Park,109,39445.24,6430.87,4526.84,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Chicago,IL - Chicago,12,27729.92,9127.75,8421.42,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Blue Island,IL - Blue Island,106,34022.32,8486.22,6653.7,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Peoria,IL - Peoria,60,28291.78,8501.3,6534.0,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Melrose Park,IL - Melrose Park,103,41965.77,5550.88,4682.5,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Joliet,IL - Joliet,136,20997.07,6112.13,4909.33,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Elgin,IL - Elgin,27,30950.0,6421.44,4988.96,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Evanston,IL - Evanston,89,26036.54,8446.98,6334.88,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Chicago,IL - Chicago,40,32481.85,8194.43,6656.25,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Rockford,IL - Rockford,160,31534.24,7257.36,5370.02,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Hinsdale,IL - Hinsdale,114,32547.7,6286.11,4518.67,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Rockford,IL - Rockford,93,23348.98,5336.56,4398.58,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Peoria,IL - Peoria,30,17814.5,6326.77,5537.57,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Rockford,IL - Rockford,72,21755.89,6684.58,5718.64,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Melrose Park,IL - Melrose Park,11,44640.64,7713.73,6631.91,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Melrose Park,IL - Melrose Park,75,43629.51,6802.55,4884.39,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Blue Island,IL - Blue Island,50,29050.92,7165.08,4935.42,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Chicago,IL - Chicago,57,40790.0,7494.68,5351.89,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Evanston,IL - Evanston,194,26968.31,6299.68,4536.51,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Melrose Park,IL - Melrose Park,108,33084.94,6335.44,4762.64,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Melrose Park,IL - Melrose Park,66,28769.14,9773.56,7040.7,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Chicago,IL - Chicago,132,26305.27,8935.23,6306.84,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Rockford,IL - Rockford,74,39337.64,5655.57,4715.14,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Hinsdale,IL - Hinsdale,100,27304.0,6612.37,4713.93,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Elgin,IL - Elgin,81,35364.59,6808.16,5614.0,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Elgin,IL - Elgin,80,23230.68,5601.5,4666.4,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Melrose Park,IL - Melrose Park,18,29306.67,7084.83,6257.06,4,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,IL,Hinsdale,IL - Hinsdale,34,23757.5,7560.5,5222.62,4,7
