DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Evansville,IN - Evansville,32,22802.25,5895.78,4840.91,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Evansville,IN - Evansville,116,20546.34,6412.28,5362.91,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Indianapolis,IN - Indianapolis,28,16331.21,5714.43,4958.86,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Gary,IN - Gary,100,26233.29,6725.73,5751.6,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Munster,IN - Munster,20,21288.3,6289.9,5080.7,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Indianapolis,IN - Indianapolis,54,17839.0,5881.7,4686.0,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Indianapolis,IN - Indianapolis,24,16271.92,5598.58,4713.42,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Munster,IN - Munster,18,17896.0,6732.17,5396.72,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Indianapolis,IN - Indianapolis,32,23900.41,5930.5,4869.38,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Indianapolis,IN - Indianapolis,51,12212.69,6271.47,5075.86,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,South Bend,IN - South Bend,131,22143.85,6621.94,4930.18,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Gary,IN - Gary,29,22067.28,5879.55,4847.41,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Fort Wayne,IN - Fort Wayne,76,34841.91,6582.91,4811.26,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,South Bend,IN - South Bend,76,18409.18,5886.33,4672.47,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Fort Wayne,IN - Fort Wayne,129,22050.98,6542.12,5354.52,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Indianapolis,IN - Indianapolis,24,22222.83,5879.96,4641.88,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Terre Haute,IN - Terre Haute,147,20365.5,6312.3,5174.57,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Indianapolis,IN - Indianapolis,16,15385.63,10469.06,9268.69,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,South Bend,IN - South Bend,63,19519.16,5800.32,4633.44,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Indianapolis,IN - Indianapolis,31,21616.97,7086.26,5769.42,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Gary,IN - Gary,59,16156.64,6203.17,4682.22,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Gary,IN - Gary,57,34550.56,5763.88,4841.63,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Indianapolis,IN - Indianapolis,24,14284.58,5557.38,4513.42,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Evansville,IN - Evansville,77,17713.23,5291.43,4279.82,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Fort Wayne,IN - Fort Wayne,41,21309.12,6184.51,5365.49,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Terre Haute,IN - Terre Haute,49,37306.16,6098.24,4657.45,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Fort Wayne,IN - Fort Wayne,25,41730.92,6944.08,6062.12,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Indianapolis,IN - Indianapolis,85,15637.22,6522.68,5589.96,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Indianapolis,IN - Indianapolis,80,24435.79,6275.48,5176.5,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Indianapolis,IN - Indianapolis,128,28536.4,10002.59,7804.87,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Indianapolis,IN - Indianapolis,45,21991.13,5790.09,4418.67,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,South Bend,IN - South Bend,73,23439.59,6984.62,5779.88,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Indianapolis,IN - Indianapolis,49,20261.61,6035.9,4772.71,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Evansville,IN - Evansville,29,15321.52,5794.62,4762.48,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Indianapolis,IN - Indianapolis,25,15273.28,6102.48,5105.04,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Indianapolis,IN - Indianapolis,30,13037.1,5847.6,4815.2,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Indianapolis,IN - Indianapolis,35,17717.49,7860.09,6858.37,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Indianapolis,IN - Indianapolis,64,22277.66,7182.53,5992.84,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Fort Wayne,IN - Fort Wayne,31,28688.58,6183.81,5062.26,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,South Bend,IN - South Bend,18,13071.17,6023.17,4666.44,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Evansville,IN - Evansville,196,22585.72,5785.48,4658.65,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Indianapolis,IN - Indianapolis,79,23798.37,8053.01,6170.23,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Indianapolis,IN - Indianapolis,55,24950.89,6235.13,5248.95,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Muncie,IN - Muncie,140,34655.45,7061.22,5524.59,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Munster,IN - Munster,35,20169.29,5611.23,4377.83,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Fort Wayne,IN - Fort Wayne,29,17045.03,6729.0,5786.79,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Indianapolis,IN - Indianapolis,53,18527.72,6060.36,5146.47,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Evansville,IN - Evansville,46,20133.04,5753.87,4826.3,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Fort Wayne,IN - Fort Wayne,17,15217.41,7007.71,5977.82,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Indianapolis,IN - Indianapolis,21,20115.14,6732.48,5626.86,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Lafayette,IN - Lafayette,40,25171.25,6309.0,5090.25,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Indianapolis,IN - Indianapolis,76,13517.29,6088.12,4936.75,3,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,IN,Indianapolis,IN - Indianapolis,43,13920.16,6232.88,4960.7,3,8
