DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,KS,Wichita,KS - Wichita,25,20009.88,5160.24,4360.88,5,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,KS,Wichita,KS - Wichita,55,23064.05,5985.35,5123.6,5,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,KS,Wichita,KS - Wichita,22,24097.05,7004.59,5983.68,5,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,KS,Topeka,KS - Topeka,58,20444.88,5552.26,4532.62,5,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,KS,Wichita,KS - Wichita,48,25775.5,6034.46,4823.56,5,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,KS,Wichita,KS - Wichita,90,23535.24,6330.6,5180.63,5,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,KS,Wichita,KS - Wichita,35,17175.29,8732.66,7192.89,5,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,KS,Wichita,KS - Wichita,23,13882.7,7904.52,6818.43,5,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,KS,Wichita,KS - Wichita,14,9416.5,5580.29,4593.43,5,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,KS,Topeka,KS - Topeka,26,23593.62,5863.85,4906.46,5,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,KS,Wichita,KS - Wichita,12,5672.25,6007.08,5275.75,5,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,KS,Topeka,KS - Topeka,137,27347.04,6536.12,4804.39,5,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,KS,Topeka,KS - Topeka,29,10159.72,8615.41,7662.59,5,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,KS,Wichita,KS - Wichita,43,31952.09,5754.77,4599.3,5,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,KS,Wichita,KS - Wichita,11,21515.73,8962.0,7824.55,5,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,KS,Wichita,KS - Wichita,22,14836.5,6072.41,5274.59,5,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,KS,Wichita,KS - Wichita,109,25635.18,6166.81,5096.14,5,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,KS,Wichita,KS - Wichita,37,42607.43,6963.03,5627.65,5,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,KS,Topeka,KS - Topeka,39,21095.59,6286.69,4327.56,5,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,KS,Wichita,KS - Wichita,31,10547.26,6291.81,5090.45,5,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,KS,Wichita,KS - Wichita,20,30432.25,6541.15,5478.95,5,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,KS,Wichita,KS - Wichita,21,14518.43,7698.38,6864.67,5,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,KS,Wichita,KS - Wichita,15,13117.33,4825.4,3742.2,5,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,KS,Wichita,KS - Wichita,32,24604.69,4960.94,3911.56,5,5
