DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Paducah,KY - Paducah,26,54764.69,5538.31,4928.46,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Louisville,KY - Louisville,33,14447.0,5767.97,4592.27,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Louisville,KY - Louisville,94,13720.26,5416.02,4363.03,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Louisville,KY - Louisville,18,20507.56,5801.33,4761.11,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Louisville,KY - Louisville,29,29420.69,5304.0,4445.66,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Covington,KY - Covington,64,14118.52,6041.86,4598.73,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Lexington,KY - Lexington,37,22213.73,5641.73,4227.59,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Lexington,KY - Lexington,97,17420.55,6319.95,5123.09,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Lexington,KY - Lexington,35,19369.54,5476.71,4407.66,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Lexington,KY - Lexington,25,20855.0,6173.76,5125.92,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Louisville,KY - Louisville,127,14291.99,5786.94,4488.98,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Louisville,KY - Louisville,18,20514.39,5638.56,4378.94,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Louisville,KY - Louisville,82,16539.94,6151.45,4896.82,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Lexington,KY - Lexington,14,13506.71,6437.36,5117.14,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Lexington,KY - Lexington,27,22055.26,5423.85,4239.48,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Louisville,KY - Louisville,22,18074.59,7124.05,5481.73,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Louisville,KY - Louisville,13,16995.62,5784.77,4628.46,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Paducah,KY - Paducah,71,20714.37,5384.7,4349.93,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Lexington,KY - Lexington,65,27047.95,6337.52,5274.26,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Covington,KY - Covington,130,17562.08,6308.85,5002.55,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Owensboro,KY - Owensboro,70,18715.81,7044.23,6016.14,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Louisville,KY - Louisville,98,22467.37,7079.23,5460.17,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Lexington,KY - Lexington,23,18778.3,6744.78,5768.26,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Lexington,KY - Lexington,77,47979.57,7858.96,6024.92,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Covington,KY - Covington,46,14662.57,5824.8,4631.15,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Lexington,KY - Lexington,28,15535.75,6233.86,5199.64,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Lexington,KY - Lexington,102,18229.5,5822.06,4792.89,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Lexington,KY - Lexington,37,16844.41,6306.24,5246.81,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Lexington,KY - Lexington,31,18940.71,5684.29,4572.68,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Lexington,KY - Lexington,46,13882.3,6257.33,4721.11,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Lexington,KY - Lexington,14,11438.79,6405.29,4610.57,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Lexington,KY - Lexington,43,27386.28,10486.74,7097.74,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Lexington,KY - Lexington,48,20732.19,6197.35,4587.92,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Louisville,KY - Louisville,75,19183.52,5511.15,4344.08,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Lexington,KY - Lexington,39,70238.13,5951.9,4947.18,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Lexington,KY - Lexington,59,13738.03,5469.27,4594.68,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Lexington,KY - Lexington,58,21690.19,6394.86,4896.67,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Louisville,KY - Louisville,40,19057.68,5724.55,4638.5,4,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,KY,Louisville,KY - Louisville,209,27689.17,7286.45,5820.66,4,8
