DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Lafayette,LA - Lafayette,136,28722.15,5808.84,4491.78,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Lafayette,LA - Lafayette,15,23786.0,5988.2,4994.87,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Houma,LA - Houma,67,21580.78,4969.76,4155.54,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Shreveport,LA - Shreveport,42,15045.26,6211.79,5320.17,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Houma,LA - Houma,67,22102.07,6434.81,5312.72,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Lake Charles,LA - Lake Charles,53,18928.08,5160.34,4197.25,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Houma,LA - Houma,28,33704.64,6508.89,5522.18,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Baton Rouge,LA - Baton Rouge,57,58008.14,6287.33,4917.58,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Lafayette,LA - Lafayette,63,17928.29,6067.59,4993.19,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Alexandria,LA - Alexandria,53,26446.98,5612.87,4305.55,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Baton Rouge,LA - Baton Rouge,59,22704.24,5655.19,4496.98,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Lafayette,LA - Lafayette,80,22525.78,5928.0,4999.6,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Alexandria,LA - Alexandria,111,56325.27,6985.38,5560.09,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Lake Charles,LA - Lake Charles,48,23622.38,5298.23,4191.83,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Lafayette,LA - Lafayette,23,23948.78,7645.13,6668.61,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,New Orleans,LA - New Orleans,74,17717.89,9423.78,6257.91,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,New Orleans,LA - New Orleans,19,19692.26,7024.47,5633.37,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Slidell,LA - Slidell,27,27788.19,5634.19,4575.7,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Shreveport,LA - Shreveport,34,28565.47,6481.85,5196.88,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Lafayette,LA - Lafayette,67,13085.64,6209.57,5136.7,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Metairie,LA - Metairie,41,22122.73,5545.22,4539.66,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,New Orleans,LA - New Orleans,30,39877.4,7893.2,6982.4,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Lake Charles,LA - Lake Charles,52,26477.4,5841.87,5036.9,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Lafayette,LA - Lafayette,84,18150.39,5160.56,4297.38,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Lafayette,LA - Lafayette,80,29964.59,5261.14,4155.76,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Lake Charles,LA - Lake Charles,63,21887.24,6592.57,5057.22,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Baton Rouge,LA - Baton Rouge,62,16377.98,6331.5,4782.13,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Baton Rouge,LA - Baton Rouge,18,12408.56,6757.28,5318.89,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Monroe,LA - Monroe,122,10192.3,6010.28,5311.22,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Shreveport,LA - Shreveport,30,41938.1,5777.1,4404.0,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Shreveport,LA - Shreveport,41,12452.63,6577.83,5014.05,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Shreveport,LA - Shreveport,30,21553.67,6258.83,5255.23,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Shreveport,LA - Shreveport,20,9847.05,10849.9,9287.7,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Alexandria,LA - Alexandria,55,27875.95,5935.98,5271.29,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Lafayette,LA - Lafayette,59,19874.71,6322.69,3913.27,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Alexandria,LA - Alexandria,34,30361.47,6529.03,5660.53,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Shreveport,LA - Shreveport,155,29190.58,6369.78,4567.21,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Shreveport,LA - Shreveport,52,17598.02,6094.77,4645.35,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Monroe,LA - Monroe,27,23505.56,6059.93,5383.26,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Shreveport,LA - Shreveport,23,12697.13,6235.7,5531.17,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Monroe,LA - Monroe,60,27015.62,6208.33,4991.1,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Monroe,LA - Monroe,46,15680.02,6043.02,5056.02,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Shreveport,LA - Shreveport,43,19349.91,6238.05,5019.79,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Alexandria,LA - Alexandria,23,23601.0,7139.04,6355.61,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Metairie,LA - Metairie,64,17360.5,6297.91,4813.47,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Monroe,LA - Monroe,25,12347.56,6597.32,5471.48,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Monroe,LA - Monroe,57,34320.18,5618.88,4358.72,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Alexandria,LA - Alexandria,44,44883.45,5237.66,4462.32,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Lafayette,LA - Lafayette,68,20567.59,5845.18,4856.94,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,New Orleans,LA - New Orleans,18,40724.33,11520.89,7742.17,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Metairie,LA - Metairie,22,36251.68,6075.68,5058.77,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Monroe,LA - Monroe,39,15716.87,7776.97,6807.51,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Lake Charles,LA - Lake Charles,13,35211.92,9406.23,7669.62,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Baton Rouge,LA - Baton Rouge,24,17300.71,6604.0,5150.42,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Slidell,LA - Slidell,25,35358.52,6071.64,5232.44,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Monroe,LA - Monroe,14,7508.43,6231.57,5427.86,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Shreveport,LA - Shreveport,44,12661.09,6293.89,5386.52,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Shreveport,LA - Shreveport,48,22407.73,5181.77,4260.9,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Baton Rouge,LA - Baton Rouge,12,15863.25,5089.5,3945.5,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Slidell,LA - Slidell,19,22148.26,4658.37,3687.0,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Lafayette,LA - Lafayette,12,19674.83,4501.25,3874.92,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Alexandria,LA - Alexandria,13,40604.38,10654.85,9539.31,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,New Orleans,LA - New Orleans,18,21856.89,6696.89,4918.39,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Metairie,LA - Metairie,21,14640.0,4627.81,3854.1,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Slidell,LA - Slidell,33,18203.85,6130.18,4973.09,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Slidell,LA - Slidell,19,12651.95,6821.32,4895.11,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Shreveport,LA - Shreveport,17,22896.0,5585.65,4637.65,6,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,LA,Shreveport,LA - Shreveport,25,40401.44,6399.32,5398.36,6,6
