DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Salisbury,MD - Salisbury,47,13936.02,6567.55,5125.85,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Salisbury,MD - Salisbury,78,21118.4,6554.14,4720.21,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Salisbury,MD - Salisbury,37,18743.46,6423.95,4943.62,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Baltimore,MD - Baltimore,82,10767.65,9989.9,8967.05,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Takoma Park,MD - Takoma Park,47,11659.96,10757.89,9921.38,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Takoma Park,MD - Takoma Park,136,8209.05,7622.44,6593.01,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Baltimore,MD - Baltimore,67,9009.27,8341.24,7316.45,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Baltimore,MD - Baltimore,45,12079.36,11173.84,10225.36,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Baltimore,MD - Baltimore,136,14925.27,13896.32,11338.83,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Baltimore,MD - Baltimore,216,10384.21,9606.42,8535.52,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Baltimore,MD - Baltimore,120,11734.44,10842.42,9834.17,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Baltimore,MD - Baltimore,169,11652.44,10785.63,9103.61,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Takoma Park,MD - Takoma Park,39,9476.38,8748.08,7828.08,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Takoma Park,MD - Takoma Park,90,9478.46,8769.14,7721.21,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Salisbury,MD - Salisbury,206,9944.22,9200.99,8145.82,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Baltimore,MD - Baltimore,65,10906.17,10068.71,8971.91,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Baltimore,MD - Baltimore,114,10320.39,9566.4,8387.89,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Baltimore,MD - Baltimore,44,13203.07,12183.11,11160.2,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Baltimore,MD - Baltimore,175,10664.27,9862.91,8711.69,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Baltimore,MD - Baltimore,46,11781.46,10871.91,9927.72,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Baltimore,MD - Baltimore,186,11370.53,10501.55,9471.06,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Baltimore,MD - Baltimore,13,10631.85,9813.23,8857.54,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Baltimore,MD - Baltimore,143,10318.99,9568.49,8482.05,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Baltimore,MD - Baltimore,247,8428.64,7825.61,6691.52,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Baltimore,MD - Baltimore,151,10175.27,9410.48,8363.23,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Salisbury,MD - Salisbury,11,11280.36,10411.55,9404.64,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Baltimore,MD - Baltimore,109,6980.65,6463.72,5444.75,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Baltimore,MD - Baltimore,153,7587.82,7009.78,5987.84,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Takoma Park,MD - Takoma Park,107,10593.97,9776.62,8904.54,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Takoma Park,MD - Takoma Park,36,7652.44,7115.69,5811.67,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Baltimore,MD - Baltimore,72,9719.75,8890.18,7128.58,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Salisbury,MD - Salisbury,57,6876.02,6354.68,5332.72,5,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,MD,Baltimore,MD - Baltimore,100,8823.09,8203.84,6925.44,5,10
