DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,ME,Bangor,ME - Bangor,64,13538.33,5776.91,4800.09,1,12
194,SIMPLE PNEUMONIA & PLEURISY W CC,ME,Portland,ME - Portland,20,15619.65,6136.65,5261.25,1,12
194,SIMPLE PNEUMONIA & PLEURISY W CC,ME,Portland,ME - Portland,69,14373.25,7743.55,6222.1,1,12
194,SIMPLE PNEUMONIA & PLEURISY W CC,ME,Bangor,ME - Bangor,28,21925.11,7526.96,6676.68,1,12
194,SIMPLE PNEUMONIA & PLEURISY W CC,ME,Portland,ME - Portland,53,14386.89,5882.62,4985.04,1,12
194,SIMPLE PNEUMONIA & PLEURISY W CC,ME,Portland,ME - Portland,86,18177.14,5592.62,4527.19,1,12
194,SIMPLE PNEUMONIA & PLEURISY W CC,ME,Portland,ME - Portland,29,13638.9,6169.1,5393.1,1,12
194,SIMPLE PNEUMONIA & PLEURISY W CC,ME,Portland,ME - Portland,49,13296.53,6535.55,5235.37,1,12
194,SIMPLE PNEUMONIA & PLEURISY W CC,ME,Portland,ME - Portland,15,15044.13,5600.4,4352.13,1,12
194,SIMPLE PNEUMONIA & PLEURISY W CC,ME,Bangor,ME - Bangor,41,11967.88,6485.0,5223.46,1,12
194,SIMPLE PNEUMONIA & PLEURISY W CC,ME,Bangor,ME - Bangor,84,15012.13,6790.77,5435.69,1,12
194,SIMPLE PNEUMONIA & PLEURISY W CC,ME,Portland,ME - Portland,18,23237.56,6982.44,5867.33,1,12
194,SIMPLE PNEUMONIA & PLEURISY W CC,ME,Portland,ME - Portland,33,16168.73,7903.67,7034.82,1,12
194,SIMPLE PNEUMONIA & PLEURISY W CC,ME,Portland,ME - Portland,49,16744.47,7191.33,5396.14,1,12
194,SIMPLE PNEUMONIA & PLEURISY W CC,ME,Portland,ME - Portland,20,13743.25,8087.7,7092.9,1,12
194,SIMPLE PNEUMONIA & PLEURISY W CC,ME,Bangor,ME - Bangor,66,15149.88,6392.14,5427.17,1,12
194,SIMPLE PNEUMONIA & PLEURISY W CC,ME,Bangor,ME - Bangor,31,13432.06,9452.77,8292.52,1,12
194,SIMPLE PNEUMONIA & PLEURISY W CC,ME,Portland,ME - Portland,24,15285.5,7155.08,6089.83,1,12
194,SIMPLE PNEUMONIA & PLEURISY W CC,ME,Portland,ME - Portland,47,18011.47,6284.09,5110.13,1,12
194,SIMPLE PNEUMONIA & PLEURISY W CC,ME,Portland,ME - Portland,50,28440.12,6083.7,5179.14,1,12
