DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,Ann Arbor,MI - Ann Arbor,125,12643.0,6710.16,5470.7,2,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,Grand Rapids,MI - Grand Rapids,15,20020.8,5605.2,4937.53,2,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,Ann Arbor,MI - Ann Arbor,22,21196.59,5959.18,4936.27,2,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,Kalamazoo,MI - Kalamazoo,26,17762.38,6715.27,5709.42,2,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,Kalamazoo,MI - Kalamazoo,94,19948.26,7823.72,6452.67,2,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,Royal Oak,MI - Royal Oak,101,20433.25,7128.94,5712.79,2,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,Dearborn,MI - Dearborn,143,22233.75,7352.41,5797.15,2,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,St. Joseph,MI - St. Joseph,66,13610.27,6304.15,5223.86,2,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,Kalamazoo,MI - Kalamazoo,56,16732.64,6278.95,5232.25,2,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,Detroit,MI - Detroit,39,17321.77,8790.95,7375.56,2,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,Pontiac,MI - Pontiac,66,12147.77,7598.0,6119.06,2,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,Lansing,MI - Lansing,32,11016.97,7197.84,4397.22,2,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,Detroit,MI - Detroit,25,13658.6,5214.48,4170.16,2,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,Grand Rapids,MI - Grand Rapids,40,13648.78,6008.78,4853.18,2,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,Saginaw,MI - Saginaw,65,19838.63,6918.97,5901.08,2,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,Kalamazoo,MI - Kalamazoo,43,13893.23,6352.6,5357.44,2,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,Grand Rapids,MI - Grand Rapids,151,15266.28,7775.79,6015.21,2,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,Grand Rapids,MI - Grand Rapids,24,16842.38,5878.79,4888.63,2,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,Saginaw,MI - Saginaw,69,19692.54,5858.42,4992.22,2,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,Ann Arbor,MI - Ann Arbor,137,28300.91,11895.47,8013.91,2,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,Detroit,MI - Detroit,64,14282.66,6943.78,5023.95,2,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,Detroit,MI - Detroit,80,16412.25,9889.56,7339.0,2,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,Marquette,MI - Marquette,19,13010.89,7093.84,5989.63,2,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,Traverse City,MI - Traverse City,11,13702.18,6568.91,4765.09,2,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,MI,Grand Rapids,MI - Grand Rapids,13,15248.23,7709.54,5671.15,2,9
