DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,31,22041.16,7249.87,5620.87,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Duluth,MN - Duluth,64,13634.38,6695.25,5598.11,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,39,22538.26,12048.03,9875.72,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Rochester,MN - Rochester,22,17185.45,7478.5,6516.86,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Rochester,MN - Rochester,155,16635.96,9619.99,7553.15,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,37,19887.19,7547.68,5899.49,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Rochester,MN - Rochester,21,16952.19,7019.05,5923.71,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,21,20910.48,6342.24,5339.0,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,St. Cloud,MN - St. Cloud,87,15811.05,7792.15,6298.55,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,St. Paul,MN - St. Paul,56,19234.95,7103.21,5842.71,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,43,14531.14,7072.67,6174.53,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Rochester,MN - Rochester,53,13036.17,7315.28,6306.3,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Duluth,MN - Duluth,61,20926.67,6497.07,5516.64,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,109,10841.59,6559.14,5385.7,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,65,13861.94,5961.18,4793.35,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,58,19848.57,7112.28,5586.33,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,St. Paul,MN - St. Paul,53,20783.92,7596.21,6269.32,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,54,11593.83,6428.67,5388.44,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,St. Paul,MN - St. Paul,29,15780.24,5878.14,4844.48,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Rochester,MN - Rochester,16,14917.38,7362.25,6349.5,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,22,13651.64,7443.73,6537.36,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,41,16872.76,6479.66,5476.24,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,24,12022.75,7341.92,6139.92,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,64,18937.11,5860.42,4789.2,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,43,27954.84,11065.74,7485.12,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Duluth,MN - Duluth,26,15319.08,6650.04,5503.88,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,70,13151.26,7444.5,6271.56,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,50,13835.22,7053.48,5367.48,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,36,13506.19,6360.89,5425.67,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,St. Paul,MN - St. Paul,66,18681.5,8591.29,7270.38,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,37,17692.51,6807.16,5364.32,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,40,16926.23,6509.9,5605.2,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,19,15250.58,7738.32,6752.84,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,20,14180.7,7855.25,6919.05,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,68,20985.31,6941.29,5352.15,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,St. Paul,MN - St. Paul,57,20235.28,6918.89,5550.56,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,St. Paul,MN - St. Paul,25,17288.32,5999.52,4684.92,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,18,14967.61,7328.56,6088.11,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,60,23488.45,7119.07,5666.48,2,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MN,Minneapolis,MN - Minneapolis,63,19961.35,6199.7,4818.05,2,6
