DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Springfield,MO - Springfield,86,11386.71,5196.01,4222.06,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,St. Louis,MO - St. Louis,41,17918.29,5657.8,4626.88,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,St. Louis,MO - St. Louis,116,19134.68,5579.01,4659.41,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,St. Louis,MO - St. Louis,88,16167.93,5967.17,4831.49,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,St. Louis,MO - St. Louis,48,18456.79,5551.31,4771.15,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,St. Louis,MO - St. Louis,13,19048.92,5589.23,4346.15,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,St. Louis,MO - St. Louis,71,11373.2,6252.73,5400.39,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,St. Louis,MO - St. Louis,52,78341.48,7045.29,6032.0,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,St. Louis,MO - St. Louis,30,14485.33,7146.97,6360.7,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,St. Louis,MO - St. Louis,70,17517.8,6037.59,4915.6,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,St. Louis,MO - St. Louis,66,32511.97,6073.55,4807.79,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,St. Louis,MO - St. Louis,56,24034.54,5940.0,4858.57,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,St. Louis,MO - St. Louis,77,20057.32,5904.19,4780.56,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,St. Louis,MO - St. Louis,45,30048.69,6639.51,5384.16,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Joplin,MO - Joplin,53,20628.53,5747.79,4900.25,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Kansas City,MO - Kansas City,23,15507.65,6488.26,5398.35,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Kansas City,MO - Kansas City,94,42347.28,7815.23,7037.54,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Kansas City,MO - Kansas City,77,20658.65,5620.27,4520.25,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Joplin,MO - Joplin,32,27165.53,5265.72,3780.16,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Kansas City,MO - Kansas City,78,31328.96,5723.36,4609.44,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Kansas City,MO - Kansas City,15,12609.2,6656.6,5341.07,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Kansas City,MO - Kansas City,16,29437.38,6192.5,5106.5,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Kansas City,MO - Kansas City,47,16057.06,5981.02,4663.74,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Kansas City,MO - Kansas City,15,20057.13,6089.67,4401.93,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Kansas City,MO - Kansas City,34,47528.26,6878.68,5757.85,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Kansas City,MO - Kansas City,34,42181.88,5085.71,3772.47,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Kansas City,MO - Kansas City,33,29726.67,5658.76,3847.09,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Joplin,MO - Joplin,40,22078.15,5802.28,4868.28,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Columbia,MO - Columbia,18,10017.89,7131.83,6161.61,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,St. Louis,MO - St. Louis,58,20815.05,6400.67,5563.29,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Kansas City,MO - Kansas City,117,19087.7,7406.13,6272.97,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Columbia,MO - Columbia,55,15213.91,5561.04,4145.35,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Columbia,MO - Columbia,59,15069.92,5454.86,4291.83,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,St. Louis,MO - St. Louis,31,31389.97,7217.06,5930.61,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,St. Louis,MO - St. Louis,45,19347.69,6649.58,5111.71,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,St. Louis,MO - St. Louis,32,18716.13,5528.34,4563.22,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Springfield,MO - Springfield,55,11746.42,6343.98,5352.6,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Columbia,MO - Columbia,83,16461.51,6829.8,5491.98,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Kansas City,MO - Kansas City,33,49505.76,7009.97,6101.61,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,St. Louis,MO - St. Louis,96,24010.24,7630.81,6649.79,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Kansas City,MO - Kansas City,56,27779.66,9074.05,8205.18,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Springfield,MO - Springfield,118,19051.75,6228.91,5048.97,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Columbia,MO - Columbia,56,17138.38,6353.64,5295.36,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Kansas City,MO - Kansas City,20,14103.45,11285.45,10322.05,4,6
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Kansas City,MO - Kansas City,25,16929.0,9763.88,8208.8,4,6
