DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,MS,Tupelo,MS - Tupelo,20,20441.6,6186.45,5241.45,6,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,MS,Jackson,MS - Jackson,48,25948.69,11585.44,8795.44,6,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,MS,Tupelo,MS - Tupelo,95,20568.94,6080.27,4756.65,6,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,MS,Tupelo,MS - Tupelo,29,17194.45,6238.83,5247.1,6,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,MS,Gulfport,MS - Gulfport,42,55297.0,6162.36,5153.31,6,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,MS,Oxford,MS - Oxford,20,13558.3,5871.7,4879.1,6,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,MS,Gulfport,MS - Gulfport,89,74476.0,6252.87,5129.78,6,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,MS,Tupelo,MS - Tupelo,45,16653.22,5733.67,4840.24,6,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,MS,Tupelo,MS - Tupelo,28,38330.61,5736.39,4890.82,6,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,MS,Jackson,MS - Jackson,15,14748.07,8055.33,5932.13,6,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,MS,Jackson,MS - Jackson,72,50181.92,6445.54,5120.79,6,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,MS,Oxford,MS - Oxford,58,19750.43,6077.74,4543.97,6,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,MS,Jackson,MS - Jackson,14,39138.0,7456.29,6482.0,6,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,MS,Meridian,MS - Meridian,45,14937.38,6042.29,5057.29,6,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,MS,Tupelo,MS - Tupelo,20,20004.2,6395.15,5150.55,6,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,MS,Jackson,MS - Jackson,185,21000.81,5494.58,4508.82,6,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,MS,Jackson,MS - Jackson,20,7443.15,5122.05,4498.45,6,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,MS,Tupelo,MS - Tupelo,39,20802.87,6478.51,5282.54,6,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,MS,Jackson,MS - Jackson,26,13316.88,6026.15,4721.38,6,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,MS,Hattiesburg,MS - Hattiesburg,74,13641.28,5653.7,4572.16,6,8
