DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,MT,Billings,MT - Billings,39,18119.23,6740.23,5812.36,2,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,MT,Billings,MT - Billings,53,11152.34,6528.92,5386.55,2,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,MT,Great Falls,MT - Great Falls,59,18923.63,6517.49,5424.58,2,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,MT,Missoula,MT - Missoula,42,16076.4,5681.64,4603.69,2,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,MT,Missoula,MT - Missoula,25,20484.36,7137.28,5773.76,2,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,MT,Missoula,MT - Missoula,12,15200.83,7636.33,5293.5,2,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,MT,Great Falls,MT - Great Falls,33,17610.0,7721.24,6776.03,2,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,MT,Billings,MT - Billings,66,17204.06,6684.0,5461.64,2,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,MT,Missoula,MT - Missoula,49,17303.45,6535.14,5096.06,2,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,MT,Billings,MT - Billings,30,9674.6,5669.5,4335.17,2,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,MT,Great Falls,MT - Great Falls,11,11902.91,10667.82,9795.09,2,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,MT,Billings,MT - Billings,26,16584.31,10165.42,9104.35,2,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,MT,Billings,MT - Billings,21,15193.14,9831.52,8766.19,2,4
