DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,NC,Charlotte,NC - Charlotte,113,21809.11,6800.65,5037.73,5,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,NC,Asheville,NC - Asheville,101,14604.99,6210.31,4849.3,5,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,NC,Winston-Salem,NC - Winston-Salem,29,12185.76,5857.83,4359.97,5,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,NC,Winston-Salem,NC - Winston-Salem,72,16702.31,6158.36,4420.11,5,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,NC,Durham,NC - Durham,27,20043.26,6737.44,5052.3,5,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,NC,Raleigh,NC - Raleigh,39,11609.69,6966.05,5242.33,5,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,NC,Charlotte,NC - Charlotte,41,19468.66,5704.15,4702.56,5,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,NC,Winston-Salem,NC - Winston-Salem,125,18876.09,6490.73,5067.18,5,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,NC,Charlotte,NC - Charlotte,84,22355.06,6134.02,4788.01,5,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,NC,Asheville,NC - Asheville,44,14299.5,5962.89,4591.93,5,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,NC,Asheville,NC - Asheville,47,12270.0,5590.53,4448.13,5,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,NC,Durham,NC - Durham,60,28943.77,5935.17,4976.5,5,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,NC,Charlotte,NC - Charlotte,33,19327.24,6014.79,4670.7,5,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,NC,Asheville,NC - Asheville,12,9974.33,5435.33,4295.0,5,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,NC,Raleigh,NC - Raleigh,22,12411.05,5997.64,4822.09,5,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,NC,Greenville,NC - Greenville,57,15421.63,6501.12,4992.53,5,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,NC,Raleigh,NC - Raleigh,111,23411.1,6540.75,5383.32,5,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,NC,Durham,NC - Durham,64,37035.28,12153.16,8854.28,5,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,NC,Charlotte,NC - Charlotte,44,17914.14,6733.64,4591.59,5,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,NC,Winston-Salem,NC - Winston-Salem,110,22132.84,6249.62,4445.47,5,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,NC,Greenville,NC - Greenville,69,18654.86,8019.01,6019.52,5,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,NC,Hickory,NC - Hickory,55,18203.44,6058.47,4832.87,5,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,NC,Greenville,NC - Greenville,46,18157.22,6451.39,5095.57,5,9
