DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,ND,Fargo/Moorhead MN,ND - Fargo/Moorhead MN,34,16250.85,6121.53,5206.71,2,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,ND,Fargo/Moorhead MN,ND - Fargo/Moorhead MN,40,15963.38,6073.05,5197.65,2,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,ND,Fargo/Moorhead MN,ND - Fargo/Moorhead MN,26,15141.04,8371.31,6700.58,2,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,ND,Bismarck,ND - Bismarck,32,9590.69,6191.09,4766.41,2,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,ND,Minot,ND - Minot,97,14392.46,6261.88,5149.89,2,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,ND,Fargo/Moorhead MN,ND - Fargo/Moorhead MN,72,16276.36,6654.82,5233.03,2,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,ND,Bismarck,ND - Bismarck,61,13933.3,6834.25,5284.62,2,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,ND,Grand Forks,ND - Grand Forks,51,14757.22,6761.51,5508.82,2,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,ND,Grand Forks,ND - Grand Forks,14,9903.64,10429.57,9188.43,2,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,ND,Fargo/Moorhead MN,ND - Fargo/Moorhead MN,60,13994.65,6095.48,5017.37,2,5
