DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,NE,Omaha,NE - Omaha,50,31540.2,6559.82,5611.9,4,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,NE,Omaha,NE - Omaha,62,16697.61,6017.35,5073.55,4,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,NE,Lincoln,NE - Lincoln,93,19336.73,5983.63,5058.38,4,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,NE,Omaha,NE - Omaha,38,23806.11,7248.26,6212.16,4,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,NE,Omaha,NE - Omaha,61,22367.57,7906.43,6589.0,4,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,NE,Lincoln,NE - Lincoln,80,20238.83,6244.31,4739.81,4,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,NE,Omaha,NE - Omaha,99,30006.74,6587.64,4889.49,4,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,NE,Omaha,NE - Omaha,19,30323.68,9788.16,6763.32,4,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,NE,Lincoln,NE - Lincoln,39,22505.46,5909.41,4892.64,4,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,NE,Omaha,NE - Omaha,101,18823.56,5635.82,4460.63,4,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,NE,Omaha,NE - Omaha,42,30076.79,6581.62,5636.29,4,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,NE,Lincoln,NE - Lincoln,75,25963.65,6404.43,5223.05,4,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,NE,Omaha,NE - Omaha,32,24579.63,6917.19,5943.0,4,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,NE,Omaha,NE - Omaha,51,32302.02,7072.22,5861.2,4,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,NE,Omaha,NE - Omaha,23,22583.74,5340.17,4526.09,4,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,NE,Omaha,NE - Omaha,21,14223.0,8071.9,7242.38,4,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,NE,Omaha,NE - Omaha,31,31197.84,5445.58,4440.81,4,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,NE,Omaha,NE - Omaha,32,24382.84,5892.69,4145.88,4,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,NE,Omaha,NE - Omaha,12,18259.17,5124.08,4291.42,4,5
