DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,NH,Manchester,NH - Manchester,117,21754.12,6785.7,5233.71,1,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NH,Lebanon,NH - Lebanon,72,18970.76,9956.13,7465.53,1,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NH,Manchester,NH - Manchester,49,27577.9,6924.24,5477.71,1,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NH,Manchester,NH - Manchester,23,12984.7,6029.83,4687.0,1,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NH,Manchester,NH - Manchester,60,12161.42,6319.95,5293.27,1,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NH,Manchester,NH - Manchester,32,23009.44,6506.38,5016.06,1,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NH,Lebanon,NH - Lebanon,36,16080.42,7271.42,6263.75,1,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NH,Manchester,NH - Manchester,73,16270.86,6751.92,5519.52,1,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NH,Manchester,NH - Manchester,47,19656.79,6149.23,5025.85,1,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NH,Manchester,NH - Manchester,33,27771.48,6318.48,5296.91,1,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NH,Manchester,NH - Manchester,78,17423.56,6469.19,5415.86,1,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NH,Lebanon,NH - Lebanon,38,12469.45,8660.29,7674.82,1,11
