DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Hackensack,NJ - Hackensack,117,45527.33,9431.69,7093.68,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Newark,NJ - Newark,32,72510.88,12266.66,10080.5,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Hackensack,NJ - Hackensack,81,60382.84,9686.74,7591.68,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Hackensack,NJ - Hackensack,22,52780.68,7335.77,6394.64,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Hackensack,NJ - Hackensack,96,39867.86,7487.1,5867.97,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Newark,NJ - Newark,79,52348.91,7814.84,6727.9,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,New Brunswick,NJ - New Brunswick,85,34181.29,7424.12,6141.89,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Camden,NJ - Camden,55,31353.49,6335.15,5332.75,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Ridgewood,NJ - Ridgewood,173,34240.79,6874.34,5533.52,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Camden,NJ - Camden,31,32558.13,10365.1,8277.06,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Morristown,NJ - Morristown,107,44844.26,8032.7,6378.51,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Newark,NJ - Newark,25,173012.68,23805.16,6903.52,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Paterson,NJ - Paterson,115,52781.67,6642.91,5366.66,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Paterson,NJ - Paterson,102,65787.59,10209.49,8526.73,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Camden,NJ - Camden,289,62266.17,7082.54,4940.12,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Newark,NJ - Newark,48,68601.42,5832.69,5001.85,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Newark,NJ - Newark,29,136383.14,7052.48,5878.38,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Newark,NJ - Newark,54,56639.94,8743.35,7351.44,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Morristown,NJ - Morristown,88,69386.8,6107.52,4705.33,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Camden,NJ - Camden,33,60972.7,8616.88,6104.39,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Camden,NJ - Camden,15,41009.73,7559.47,5951.0,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Camden,NJ - Camden,101,35125.76,8401.66,6704.09,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Camden,NJ - Camden,63,63299.33,7513.71,5302.92,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,New Brunswick,NJ - New Brunswick,135,86983.87,9857.5,7912.85,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,New Brunswick,NJ - New Brunswick,123,68550.02,8395.69,6938.28,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Hackensack,NJ - Hackensack,27,149125.7,10374.26,8240.67,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Camden,NJ - Camden,195,53378.89,6614.97,5717.81,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Hackensack,NJ - Hackensack,87,69060.99,7775.3,6328.09,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Camden,NJ - Camden,66,49998.15,6570.2,5131.23,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,New Brunswick,NJ - New Brunswick,75,60832.45,6136.44,4918.19,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Morristown,NJ - Morristown,108,41681.98,6938.4,5822.44,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Morristown,NJ - Morristown,115,44050.01,7400.19,5581.47,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Camden,NJ - Camden,140,59702.54,6525.37,5483.4,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Newark,NJ - Newark,86,44497.13,8871.24,6819.66,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Camden,NJ - Camden,135,53789.72,7094.48,5254.72,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Hackensack,NJ - Hackensack,21,29022.14,14935.76,13254.95,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Camden,NJ - Camden,28,61347.43,6079.36,4784.36,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Camden,NJ - Camden,144,52573.2,7609.3,6439.75,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Camden,NJ - Camden,24,37830.54,5743.42,4704.42,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,New Brunswick,NJ - New Brunswick,92,95673.82,9581.92,7847.01,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Camden,NJ - Camden,80,54681.15,8404.06,6839.15,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Newark,NJ - Newark,43,54057.37,10902.7,9561.05,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Camden,NJ - Camden,52,60510.27,10047.92,8302.29,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Newark,NJ - Newark,114,59348.94,10600.25,7373.83,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Camden,NJ - Camden,40,52214.68,7677.65,6673.6,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Camden,NJ - Camden,128,64830.3,7920.04,6319.33,3,11
194,SIMPLE PNEUMONIA & PLEURISY W CC,NJ,Newark,NJ - Newark,14,22177.14,10014.71,7669.79,3,11
