DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,NM,Albuquerque,NM - Albuquerque,23,10535.65,12200.13,11166.91,5,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,NM,Albuquerque,NM - Albuquerque,16,10277.75,11169.5,10387.5,5,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,NM,Albuquerque,NM - Albuquerque,15,19834.0,8364.2,6372.27,5,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,NM,Albuquerque,NM - Albuquerque,31,17540.87,13311.39,10563.68,5,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,NM,Albuquerque,NM - Albuquerque,66,19593.68,8607.97,6926.89,5,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,NM,Albuquerque,NM - Albuquerque,22,60664.18,9621.27,8402.36,5,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,NM,Albuquerque,NM - Albuquerque,55,22627.49,7493.15,6361.53,5,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,NM,Albuquerque,NM - Albuquerque,32,34882.94,6242.78,5087.59,5,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,NM,Albuquerque,NM - Albuquerque,17,35377.59,6059.65,4942.59,5,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,NM,Albuquerque,NM - Albuquerque,21,18586.0,8958.33,7474.24,5,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,NM,Albuquerque,NM - Albuquerque,40,15060.95,9232.6,8100.53,5,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,NM,Albuquerque,NM - Albuquerque,28,23631.57,6260.89,5280.32,5,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,NM,Albuquerque,NM - Albuquerque,13,39513.08,12296.0,11283.54,5,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,NM,Albuquerque,NM - Albuquerque,60,22590.5,7483.67,5847.72,5,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,NM,Albuquerque,NM - Albuquerque,28,26487.0,7680.29,6566.29,5,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,NM,Albuquerque,NM - Albuquerque,16,16624.19,10971.0,9643.5,5,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,NM,Albuquerque,NM - Albuquerque,25,9824.16,6859.0,5911.96,5,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,NM,Albuquerque,NM - Albuquerque,48,10908.77,10059.73,9071.4,5,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,NM,Albuquerque,NM - Albuquerque,33,11850.18,8888.52,7981.48,5,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,NM,Albuquerque,NM - Albuquerque,18,27325.33,6821.61,4592.33,5,4
194,SIMPLE PNEUMONIA & PLEURISY W CC,NM,Albuquerque,NM - Albuquerque,16,31266.63,5758.19,4587.94,5,4
