DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,NV,Las Vegas,NV - Las Vegas,41,86050.63,6342.59,5524.8,4,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,NV,Las Vegas,NV - Las Vegas,28,45579.75,5896.68,4401.18,4,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,NV,Reno,NV - Reno,88,27986.25,7604.78,5905.1,4,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,NV,Las Vegas,NV - Las Vegas,63,64879.02,8712.57,7463.21,4,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,NV,Las Vegas,NV - Las Vegas,11,60357.45,8508.55,5565.36,4,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,NV,Reno,NV - Reno,33,23831.42,7864.73,6885.33,4,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,NV,Las Vegas,NV - Las Vegas,38,37466.79,11416.53,9283.21,4,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,NV,Reno,NV - Reno,12,26372.67,6553.25,5619.25,4,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,NV,Las Vegas,NV - Las Vegas,23,56380.43,6527.87,5655.17,4,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,NV,Reno,NV - Reno,48,24511.81,7552.06,6672.4,4,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,NV,Las Vegas,NV - Las Vegas,24,59522.58,9005.96,7199.92,4,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,NV,Las Vegas,NV - Las Vegas,58,50519.12,6210.12,5138.53,4,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,NV,Reno,NV - Reno,18,35980.78,5926.0,5168.22,4,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,NV,Las Vegas,NV - Las Vegas,68,58547.72,6941.88,5273.66,4,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,NV,Las Vegas,NV - Las Vegas,51,57014.12,7117.69,5782.02,4,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,NV,Las Vegas,NV - Las Vegas,54,64232.09,7048.83,5919.22,4,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,NV,Las Vegas,NV - Las Vegas,35,73111.09,7321.14,5551.03,4,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,NV,Las Vegas,NV - Las Vegas,22,36894.82,6866.91,5327.05,4,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,NV,Reno,NV - Reno,23,25892.91,5960.17,4976.0,4,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,NV,Las Vegas,NV - Las Vegas,47,52454.72,6090.74,5163.68,4,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,NV,Las Vegas,NV - Las Vegas,35,72938.74,5954.2,4510.0,4,3
