DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,NY,Albany,NY - Albany,91,10717.86,8473.59,7440.93,2,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,NY,Albany,NY - Albany,26,13366.92,5233.58,3839.04,2,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,NY,Albany,NY - Albany,145,31406.49,6910.44,5392.26,2,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,NY,Buffalo,NY - Buffalo,117,15242.13,9125.76,7212.32,2,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,NY,White Plains,NY - White Plains,14,19537.36,10126.79,8846.36,2,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,NY,Rochester,NY - Rochester,23,11774.35,8236.57,7146.65,2,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,NY,Bronx,NY - Bronx,34,14887.41,17957.29,15966.35,2,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,NY,Binghamton,NY - Binghamton,57,10949.56,5576.26,4644.68,2,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,NY,Albany,NY - Albany,28,29073.93,8804.39,7021.93,2,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,NY,East Long Island,NY - East Long Island,36,28880.03,13282.58,10790.81,2,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,NY,Manhattan,NY - Manhattan,55,28831.55,8517.47,7515.8,2,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,NY,Albany,NY - Albany,105,32005.1,7833.8,6588.18,2,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,NY,Manhattan,NY - Manhattan,114,27401.03,12241.86,9346.33,2,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,NY,Manhattan,NY - Manhattan,27,28241.11,11516.96,9858.26,2,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,NY,Rochester,NY - Rochester,36,16976.17,5807.61,4904.94,2,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,NY,Binghamton,NY - Binghamton,18,22672.11,7363.89,6256.11,2,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,NY,East Long Island,NY - East Long Island,52,38215.77,8414.46,6989.62,2,10
