DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Cincinnati,OH - Cincinnati,22,16025.91,5677.95,4421.05,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Toledo,OH - Toledo,55,15637.55,6044.0,5269.09,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Cincinnati,OH - Cincinnati,38,17358.92,6085.32,4661.37,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Columbus,OH - Columbus,38,12717.76,5525.13,4486.39,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Cincinnati,OH - Cincinnati,46,20703.37,10556.67,7876.85,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Columbus,OH - Columbus,78,20616.1,6687.55,5292.58,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Columbus,OH - Columbus,96,18254.35,7009.1,5696.64,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Dayton,OH - Dayton,23,13152.48,5879.52,4798.87,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Canton,OH - Canton,28,8717.18,5754.93,4169.71,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Columbus,OH - Columbus,54,12899.3,5530.31,4387.59,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Columbus,OH - Columbus,47,14299.66,6168.87,4950.47,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Dayton,OH - Dayton,46,13279.5,6341.0,5276.65,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Columbus,OH - Columbus,22,17355.09,9960.91,8403.09,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Cincinnati,OH - Cincinnati,23,19715.87,6342.87,4948.61,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Columbus,OH - Columbus,37,21329.97,8014.89,6059.49,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Akron,OH - Akron,34,26500.68,6491.62,4664.09,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Akron,OH - Akron,65,30445.02,7576.89,5396.03,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Cleveland,OH - Cleveland,71,21113.1,6473.37,4797.28,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Kettering,OH - Kettering,21,25317.95,5154.14,4129.05,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Akron,OH - Akron,78,21525.83,7120.14,5627.9,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Toledo,OH - Toledo,37,13990.97,5757.84,4625.89,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Dayton,OH - Dayton,35,11822.29,6103.8,4966.14,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Columbus,OH - Columbus,80,14978.35,6577.65,5161.5,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Canton,OH - Canton,38,7303.95,5601.24,4281.26,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Cleveland,OH - Cleveland,15,21157.4,8862.93,6673.47,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Columbus,OH - Columbus,116,17448.78,6823.9,5554.67,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Columbus,OH - Columbus,27,16367.85,6609.07,5274.59,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Cleveland,OH - Cleveland,86,16018.57,5256.85,4219.22,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Dayton,OH - Dayton,42,17125.79,6508.43,5557.38,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Cincinnati,OH - Cincinnati,19,12840.37,6213.47,4018.84,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Toledo,OH - Toledo,45,29060.53,9599.78,6542.31,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Dayton,OH - Dayton,49,23650.84,7248.8,5711.57,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Dayton,OH - Dayton,39,34290.72,6412.18,4869.1,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Columbus,OH - Columbus,55,13599.29,5478.4,4625.87,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Youngstown,OH - Youngstown,46,30821.93,5873.59,4674.96,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Cincinnati,OH - Cincinnati,53,18276.13,5822.49,4750.81,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Dayton,OH - Dayton,30,19337.4,5957.93,5029.93,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Cleveland,OH - Cleveland,34,16804.03,11081.24,8885.65,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Youngstown,OH - Youngstown,72,22511.06,6897.63,4940.94,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Cleveland,OH - Cleveland,17,14940.59,5807.0,4880.94,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Dayton,OH - Dayton,109,23393.2,6037.42,5083.31,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Toledo,OH - Toledo,42,40815.36,7295.83,5987.71,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Canton,OH - Canton,72,10941.53,6423.01,4928.72,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Columbus,OH - Columbus,50,12804.54,6285.2,4706.12,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Toledo,OH - Toledo,34,29791.32,6310.71,4844.91,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Cleveland,OH - Cleveland,30,22411.13,8491.97,6166.47,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Kettering,OH - Kettering,25,31195.8,6433.12,4646.56,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Cleveland,OH - Cleveland,94,21397.54,6942.52,5679.47,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Akron,OH - Akron,25,18696.84,5789.24,4393.44,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Kettering,OH - Kettering,47,21867.45,6882.34,4689.7,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Toledo,OH - Toledo,39,36714.79,6493.38,4809.28,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Cleveland,OH - Cleveland,19,18707.89,5736.05,4867.84,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Canton,OH - Canton,66,13783.38,6980.45,4804.74,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Columbus,OH - Columbus,58,26015.64,9269.95,6785.17,3,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,OH,Dayton,OH - Dayton,45,21616.47,5963.18,4793.13,3,9
