DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,OK,Tulsa,OK - Tulsa,44,11812.95,5657.7,4411.2,6,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,OK,Tulsa,OK - Tulsa,74,36953.22,7527.28,6010.53,6,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,OK,Oklahoma City,OK - Oklahoma City,27,26107.78,6689.96,5769.67,6,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,OK,Oklahoma City,OK - Oklahoma City,30,25131.93,5697.1,4783.37,6,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,OK,Oklahoma City,OK - Oklahoma City,94,25179.4,5878.65,4517.66,6,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,OK,Oklahoma City,OK - Oklahoma City,13,33059.46,5577.69,4511.54,6,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,OK,Oklahoma City,OK - Oklahoma City,43,25124.0,5830.14,4959.26,6,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,OK,Tulsa,OK - Tulsa,21,18103.1,5969.43,4705.86,6,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,OK,Oklahoma City,OK - Oklahoma City,18,28164.83,8354.17,7192.94,6,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,OK,Tulsa,OK - Tulsa,36,15390.56,5631.75,4342.86,6,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,OK,Oklahoma City,OK - Oklahoma City,30,21993.4,5674.27,4631.6,6,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,OK,Oklahoma City,OK - Oklahoma City,19,20708.11,6326.89,4860.74,6,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,OK,Oklahoma City,OK - Oklahoma City,37,20348.84,5745.73,4699.57,6,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,OK,Lawton,OK - Lawton,44,19662.59,5439.11,4558.39,6,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,OK,Tulsa,OK - Tulsa,101,25010.4,5386.26,4329.53,6,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,OK,Oklahoma City,OK - Oklahoma City,79,39941.25,4993.59,4062.59,6,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,OK,Oklahoma City,OK - Oklahoma City,121,40279.43,8479.68,6216.55,6,5
