DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Medford,OR - Medford,31,32182.87,9000.26,7400.26,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Portland,OR - Portland,39,17356.18,7904.15,6910.51,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Medford,OR - Medford,80,28953.04,6347.83,5332.33,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Portland,OR - Portland,30,13698.73,7594.67,6119.93,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Medford,OR - Medford,16,28957.19,6176.0,5003.0,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Portland,OR - Portland,15,18480.33,11375.6,10339.47,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Portland,OR - Portland,31,28159.65,14049.68,12082.13,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Eugene,OR - Eugene,27,22530.0,8532.15,7071.93,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Portland,OR - Portland,17,21959.29,9062.06,6042.82,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Medford,OR - Medford,82,23483.43,6534.33,5480.33,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Eugene,OR - Eugene,28,21714.0,7017.79,5556.43,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Portland,OR - Portland,11,15504.64,7302.73,6394.36,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Eugene,OR - Eugene,11,13897.36,6865.09,5972.73,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Portland,OR - Portland,16,24677.63,7407.5,6476.25,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Eugene,OR - Eugene,49,22920.61,7503.61,6458.31,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Portland,OR - Portland,15,12525.33,11429.73,10181.47,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Bend,OR - Bend,16,18767.94,9940.88,8919.88,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Bend,OR - Bend,51,20471.92,6919.94,5813.14,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Medford,OR - Medford,32,34369.41,7868.34,6590.09,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Salem,OR - Salem,50,14626.4,7806.42,5728.12,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Portland,OR - Portland,31,18098.58,7741.29,6045.84,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Portland,OR - Portland,28,20315.11,6848.32,6002.75,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Medford,OR - Medford,44,22554.98,6231.16,5238.89,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Portland,OR - Portland,13,11870.31,7762.85,6383.62,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Portland,OR - Portland,49,21745.0,6254.08,5036.27,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Eugene,OR - Eugene,26,18682.5,8620.96,7705.27,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Eugene,OR - Eugene,29,19080.24,7296.17,6016.21,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Portland,OR - Portland,27,18405.56,7286.96,6226.67,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Portland,OR - Portland,44,25773.64,7578.5,5844.14,3,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,OR,Portland,OR - Portland,38,23129.26,7726.95,6135.34,3,2
