DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Philadelphia,PA - Philadelphia,88,25877.07,6842.44,5314.61,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Philadelphia,PA - Philadelphia,27,60346.3,9270.0,5974.37,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Philadelphia,PA - Philadelphia,85,102254.72,8200.16,5547.09,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Allentown,PA - Allentown,25,65021.4,7214.56,5458.76,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Philadelphia,PA - Philadelphia,98,36665.21,6477.19,5094.9,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Philadelphia,PA - Philadelphia,29,117597.14,7955.9,6340.97,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Philadelphia,PA - Philadelphia,67,69121.78,5951.31,5037.7,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Erie,PA - Erie,42,8765.05,6018.67,5008.1,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Sayre,PA - Sayre,37,14660.27,5518.14,4604.92,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Pittsburgh,PA - Pittsburgh,21,14355.0,5435.05,4271.1,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Pittsburgh,PA - Pittsburgh,27,11223.74,6102.04,5026.44,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Pittsburgh,PA - Pittsburgh,77,14386.79,5950.08,4479.99,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Scranton,PA - Scranton,128,36960.78,5626.14,4509.33,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Pittsburgh,PA - Pittsburgh,28,24166.11,8812.14,5972.46,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Danville,PA - Danville,11,23014.09,5457.09,4430.18,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Harrisburg,PA - Harrisburg,38,23300.74,5418.18,4374.34,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Danville,PA - Danville,90,36278.03,9810.53,7077.61,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Pittsburgh,PA - Pittsburgh,20,11687.75,5747.0,4184.75,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Erie,PA - Erie,30,24062.77,6582.47,4651.63,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Philadelphia,PA - Philadelphia,63,24203.76,5781.16,4793.73,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Danville,PA - Danville,29,13886.52,5957.79,4425.38,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Allentown,PA - Allentown,25,16795.08,5073.12,4275.52,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Philadelphia,PA - Philadelphia,33,63107.67,6812.03,5840.85,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Philadelphia,PA - Philadelphia,16,81533.94,15740.06,10416.19,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Pittsburgh,PA - Pittsburgh,45,23752.51,10137.58,6893.64,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Reading,PA - Reading,58,13475.1,6535.91,5261.28,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Reading,PA - Reading,44,17170.52,5845.07,4970.34,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Pittsburgh,PA - Pittsburgh,25,16609.32,5991.88,3758.88,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Pittsburgh,PA - Pittsburgh,22,10067.82,6236.27,4515.09,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Pittsburgh,PA - Pittsburgh,20,9685.5,5394.9,3600.55,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Johnstown,PA - Johnstown,11,15474.73,5945.64,4918.73,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Pittsburgh,PA - Pittsburgh,62,10733.03,6068.48,5041.9,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Pittsburgh,PA - Pittsburgh,47,12688.21,6906.19,4912.94,3,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,PA,Sayre,PA - Sayre,36,24289.81,6798.11,5636.33,3,10
