DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Charleston,SC - Charleston,32,20053.69,10410.78,7493.13,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Florence,SC - Florence,13,17507.77,6159.85,4759.77,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Spartanburg,SC - Spartanburg,205,26003.74,7178.45,5060.87,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Greenville,SC - Greenville,40,17383.5,6660.75,5349.5,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Columbia,SC - Columbia,22,26462.27,5813.91,4797.0,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Greenville,SC - Greenville,25,13022.36,5767.72,4200.96,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Greenville,SC - Greenville,28,27475.61,6019.64,4435.04,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Columbia,SC - Columbia,54,35142.52,9826.69,6242.39,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Charleston,SC - Charleston,15,34180.27,6465.47,5028.47,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Greenville,SC - Greenville,110,33599.65,5647.74,4460.38,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Columbia,SC - Columbia,61,17572.79,5190.79,3956.52,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Greenville,SC - Greenville,196,39762.11,6478.67,5037.98,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Charleston,SC - Charleston,25,35237.84,6095.6,4994.64,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Greenville,SC - Greenville,25,13986.92,6008.28,4294.32,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Greenville,SC - Greenville,16,14981.63,5413.38,4101.75,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Greenville,SC - Greenville,16,25293.13,6673.94,5361.31,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Spartanburg,SC - Spartanburg,20,19970.45,5665.55,4729.65,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Spartanburg,SC - Spartanburg,20,46907.9,6944.85,5848.95,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Columbia,SC - Columbia,66,22181.2,5741.8,4654.85,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Charleston,SC - Charleston,70,24450.59,6048.33,4853.3,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Florence,SC - Florence,97,30018.34,6760.78,5070.42,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Columbia,SC - Columbia,16,14838.63,7114.56,6159.19,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Florence,SC - Florence,11,32280.82,5937.64,4571.64,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Florence,SC - Florence,28,37309.25,6142.86,5252.29,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Charleston,SC - Charleston,29,17652.66,6193.41,4845.24,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Florence,SC - Florence,26,11542.88,6741.35,5729.35,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Columbia,SC - Columbia,45,33550.8,7027.67,5406.02,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Columbia,SC - Columbia,35,15938.54,7337.77,5618.89,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Columbia,SC - Columbia,49,16366.22,5964.88,4768.73,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Columbia,SC - Columbia,77,24284.48,8424.7,6831.18,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Charleston,SC - Charleston,18,15057.83,7638.78,5383.39,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Columbia,SC - Columbia,93,37916.15,6691.98,4617.61,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Greenville,SC - Greenville,37,20957.24,7708.0,6293.73,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Charleston,SC - Charleston,109,41252.27,6178.62,4778.61,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Spartanburg,SC - Spartanburg,57,38178.37,5723.75,4553.42,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Charleston,SC - Charleston,75,28958.45,5518.27,4256.8,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Columbia,SC - Columbia,49,41889.63,7181.24,5955.63,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Charleston,SC - Charleston,63,21697.98,5568.46,4574.84,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Charleston,SC - Charleston,39,32041.03,5120.36,4127.85,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Florence,SC - Florence,54,66338.52,5940.94,4707.69,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Charleston,SC - Charleston,56,19767.75,5082.52,3734.14,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Greenville,SC - Greenville,43,22901.44,5359.81,3931.77,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Florence,SC - Florence,34,24300.03,5862.26,4747.21,6,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,SC,Columbia,SC - Columbia,16,36685.69,6535.63,3495.94,6,9
