DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Memphis,TN - Memphis,22,24086.05,7340.45,6177.0,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Memphis,TN - Memphis,25,15177.96,7644.52,5943.48,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Memphis,TN - Memphis,17,40972.47,6237.76,5358.71,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Chattanooga,TN - Chattanooga,23,20886.04,6332.7,5252.35,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Nashville,TN - Nashville,65,19484.32,6387.03,5343.6,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Nashville,TN - Nashville,86,18148.1,6105.41,5095.6,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Knoxville,TN - Knoxville,42,10285.12,5859.1,4204.48,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Nashville,TN - Nashville,63,24651.05,5542.37,4525.86,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Nashville,TN - Nashville,46,26199.54,6144.59,5037.43,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Nashville,TN - Nashville,38,34488.32,5286.89,4257.61,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Memphis,TN - Memphis,110,26515.35,5802.56,4613.26,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Memphis,TN - Memphis,18,18013.06,6921.5,6069.78,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Memphis,TN - Memphis,28,48571.39,6740.57,5400.29,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Memphis,TN - Memphis,27,16348.59,6559.67,5587.81,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Memphis,TN - Memphis,26,29441.46,6240.42,5064.23,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Memphis,TN - Memphis,26,27026.38,6864.12,6237.5,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Memphis,TN - Memphis,96,25107.23,5803.43,4785.06,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Johnson City,TN - Johnson City,35,13776.49,7522.91,6037.23,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Jackson,TN - Jackson,106,18619.3,5808.13,4819.65,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Nashville,TN - Nashville,66,39806.15,5656.32,4744.58,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Nashville,TN - Nashville,50,40979.06,6312.84,5026.78,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Nashville,TN - Nashville,34,9404.24,5227.15,4344.21,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Jackson,TN - Jackson,19,26137.74,5922.89,4804.79,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Nashville,TN - Nashville,46,14236.02,5791.93,4575.78,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Nashville,TN - Nashville,36,13393.08,5852.53,4818.0,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Knoxville,TN - Knoxville,98,19550.43,5335.34,4234.65,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Kingsport,TN - Kingsport,149,15221.08,5272.32,4359.11,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Knoxville,TN - Knoxville,64,23688.64,6790.94,5793.09,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Kingsport,TN - Kingsport,111,17463.23,5387.0,4263.59,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Johnson City,TN - Johnson City,22,16450.41,4808.68,3730.5,5,8
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Nashville,TN - Nashville,24,23156.04,6744.63,5617.21,5,8
