DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,El Paso,TX - El Paso,12,22422.92,8249.25,7206.58,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,El Paso,TX - El Paso,55,29297.56,6923.95,5778.2,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Lubbock,TX - Lubbock,33,28988.48,6285.85,5298.45,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Lubbock,TX - Lubbock,29,35817.31,6429.9,5306.31,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Lubbock,TX - Lubbock,16,14251.81,6548.88,5665.81,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,El Paso,TX - El Paso,41,25247.12,5782.44,4809.76,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Dallas,TX - Dallas,80,64627.1,5959.1,4919.76,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Dallas,TX - Dallas,34,14687.74,5777.15,5078.21,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Amarillo,TX - Amarillo,25,15842.48,7496.64,6272.64,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,El Paso,TX - El Paso,61,51896.28,7861.23,6397.9,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,San Antonio,TX - San Antonio,64,21706.23,5697.47,4409.05,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Wichita Falls,TX - Wichita Falls,142,30006.05,7058.92,5702.8,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Bryan,TX - Bryan,93,28334.2,6158.51,5146.87,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Dallas,TX - Dallas,45,34927.07,17229.64,14620.31,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Houston,TX - Houston,67,25342.19,13138.97,9486.57,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Dallas,TX - Dallas,227,24770.41,8700.24,5462.92,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Victoria,TX - Victoria,68,26684.91,5325.79,4388.07,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,El Paso,TX - El Paso,29,18951.76,10887.03,8944.76,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Harlingen,TX - Harlingen,41,64381.59,7647.29,6354.41,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,San Antonio,TX - San Antonio,43,45673.26,7153.0,5934.67,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Harlingen,TX - Harlingen,67,33283.34,6854.94,5454.1,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Beaumont,TX - Beaumont,99,33625.58,6910.01,4874.29,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Houston,TX - Houston,17,42498.88,11075.53,9096.76,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Longview,TX - Longview,80,25632.89,6723.41,5235.75,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Fort Worth,TX - Fort Worth,14,28902.29,11731.5,10071.79,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Lubbock,TX - Lubbock,108,68391.62,6314.19,4758.2,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Waco,TX - Waco,118,19040.77,5519.35,4411.47,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Dallas,TX - Dallas,85,24012.79,8141.05,6034.04,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Corpus Christi,TX - Corpus Christi,106,40142.53,6770.83,5299.39,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Dallas,TX - Dallas,43,32054.51,9144.95,6441.91,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Waco,TX - Waco,40,20955.5,6843.03,5790.65,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Temple,TX - Temple,136,21440.93,8432.85,5805.51,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Abilene,TX - Abilene,17,16211.35,8017.65,7196.0,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Austin,TX - Austin,70,47731.2,6925.16,5511.67,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,San Antonio,TX - San Antonio,189,37060.95,6722.76,5307.61,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Fort Worth,TX - Fort Worth,83,28627.13,6487.89,4956.83,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Houston,TX - Houston,27,26521.52,11634.74,8811.81,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Houston,TX - Houston,69,24113.61,5746.81,4603.28,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Lubbock,TX - Lubbock,11,13431.36,7249.82,6345.45,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Abilene,TX - Abilene,13,15408.0,8818.38,7739.0,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Dallas,TX - Dallas,91,26781.92,6444.56,5506.74,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Tyler,TX - Tyler,47,14972.64,6612.79,5683.21,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Corpus Christi,TX - Corpus Christi,35,37799.17,7118.57,6226.11,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Tyler,TX - Tyler,87,52331.98,6033.09,4695.82,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Fort Worth,TX - Fort Worth,50,45007.12,5352.22,4380.86,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Dallas,TX - Dallas,17,22256.65,6932.41,5905.12,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,San Antonio,TX - San Antonio,33,46804.82,6141.52,5230.48,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Houston,TX - Houston,62,63763.42,7619.89,6734.92,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Waco,TX - Waco,48,26432.21,7004.25,5918.6,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Tyler,TX - Tyler,185,37160.0,5726.56,4482.34,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,San Antonio,TX - San Antonio,49,20827.61,5769.24,4593.1,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,El Paso,TX - El Paso,63,58692.57,7087.03,5659.79,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,San Antonio,TX - San Antonio,22,17546.14,6444.14,5023.91,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,McAllen,TX - McAllen,71,54423.52,7722.83,6474.25,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,San Antonio,TX - San Antonio,23,29040.96,7044.74,6228.74,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Odessa,TX - Odessa,54,30729.56,7446.74,5665.19,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Odessa,TX - Odessa,81,30507.01,6461.94,4835.65,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Fort Worth,TX - Fort Worth,104,32489.22,6561.82,5378.67,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Fort Worth,TX - Fort Worth,69,23156.97,7863.35,5976.2,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Austin,TX - Austin,13,25216.15,8209.69,7063.54,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Victoria,TX - Victoria,50,65685.0,6174.3,4768.24,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Fort Worth,TX - Fort Worth,49,28029.86,6049.27,4693.33,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Temple,TX - Temple,21,32023.71,6262.95,5255.52,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,San Antonio,TX - San Antonio,14,17353.57,6174.79,5200.5,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Amarillo,TX - Amarillo,12,12493.08,6397.75,5279.58,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,Corpus Christi,TX - Corpus Christi,39,39281.82,5852.9,5050.85,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,San Antonio,TX - San Antonio,40,26609.68,6586.75,5711.35,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,McAllen,TX - McAllen,65,30574.78,7448.06,6440.42,7,5
194,SIMPLE PNEUMONIA & PLEURISY W CC,TX,San Antonio,TX - San Antonio,23,19078.61,7711.48,6570.61,7,5
