DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Salt Lake City,UT - Salt Lake City,65,33286.82,8617.74,7429.94,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Provo,UT - Provo,38,17652.18,7014.76,5691.18,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Salt Lake City,UT - Salt Lake City,14,18840.71,6251.93,5266.36,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Ogden,UT - Ogden,24,14624.25,6299.88,4809.58,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Ogden,UT - Ogden,41,25559.32,6619.49,4711.61,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Salt Lake City,UT - Salt Lake City,17,17930.41,7587.0,4899.12,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Salt Lake City,UT - Salt Lake City,34,15126.09,6663.03,5814.56,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Salt Lake City,UT - Salt Lake City,14,22580.0,9660.36,7724.5,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Salt Lake City,UT - Salt Lake City,38,17399.95,7599.76,4927.84,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Salt Lake City,UT - Salt Lake City,32,17371.72,7001.69,5231.56,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Salt Lake City,UT - Salt Lake City,54,20123.3,7119.09,6022.26,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Salt Lake City,UT - Salt Lake City,25,13116.04,6904.12,5504.8,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Ogden,UT - Ogden,16,24028.06,7824.81,6975.06,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Salt Lake City,UT - Salt Lake City,19,10196.84,7779.16,6661.05,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Salt Lake City,UT - Salt Lake City,86,15479.07,6446.49,5117.88,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Provo,UT - Provo,15,15234.07,7174.0,4337.33,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Salt Lake City,UT - Salt Lake City,24,14433.42,7063.71,5968.54,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Salt Lake City,UT - Salt Lake City,12,25793.17,7418.67,6173.33,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Provo,UT - Provo,13,12430.15,9098.08,8235.92,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Ogden,UT - Ogden,30,16199.37,6176.93,5006.23,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Salt Lake City,UT - Salt Lake City,17,25046.71,6404.24,4476.53,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Salt Lake City,UT - Salt Lake City,61,21570.38,6285.95,4819.02,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Salt Lake City,UT - Salt Lake City,29,17164.1,7016.07,5654.21,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Salt Lake City,UT - Salt Lake City,15,14772.27,9770.47,8585.2,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Salt Lake City,UT - Salt Lake City,12,18259.33,10938.33,8953.25,3,3
194,SIMPLE PNEUMONIA & PLEURISY W CC,UT,Salt Lake City,UT - Salt Lake City,13,20442.38,8456.46,6199.69,3,3
