DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,VA,Norfolk,VA - Norfolk,48,17120.33,7115.13,5608.52,6,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,VA,Charlottesville,VA - Charlottesville,78,12672.91,6838.99,5629.47,6,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,VA,Winchester,VA - Winchester,206,14972.84,6340.53,5017.87,6,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,VA,Norfolk,VA - Norfolk,51,25648.65,8167.67,5806.8,6,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,VA,Charlottesville,VA - Charlottesville,57,29227.19,11929.21,7646.18,6,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,VA,Norfolk,VA - Norfolk,32,20998.88,6290.97,4999.09,6,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,VA,Norfolk,VA - Norfolk,15,15364.8,6624.4,5416.73,6,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,VA,Charlottesville,VA - Charlottesville,67,10010.24,6448.48,4894.7,6,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,VA,Charlottesville,VA - Charlottesville,38,14857.74,6483.11,5002.34,6,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,VA,Richmond,VA - Richmond,27,62329.85,6300.0,4592.3,6,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,VA,Lynchburg,VA - Lynchburg,93,13551.99,6135.66,4634.27,6,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,VA,Richmond,VA - Richmond,176,20811.65,6512.22,5074.39,6,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,VA,Arlington,VA - Arlington,67,21612.4,5942.75,4646.58,6,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,VA,Roanoke,VA - Roanoke,41,15040.78,7481.24,5282.02,6,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,VA,Richmond,VA - Richmond,54,34323.59,11108.48,7640.09,6,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,VA,Winchester,VA - Winchester,32,16156.47,8053.22,6255.22,6,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,VA,Norfolk,VA - Norfolk,21,11244.86,5440.38,4371.14,6,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,VA,Arlington,VA - Arlington,92,20217.98,6765.18,5109.57,6,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,VA,Newport News,VA - Newport News,12,13788.42,5814.58,5026.75,6,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,VA,Roanoke,VA - Roanoke,17,13788.0,6751.65,4099.35,6,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,VA,Arlington,VA - Arlington,117,16682.43,6182.75,4803.34,6,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,VA,Norfolk,VA - Norfolk,68,20319.56,6067.41,4716.31,6,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,VA,Arlington,VA - Arlington,31,13092.16,6086.29,5094.13,6,10
194,SIMPLE PNEUMONIA & PLEURISY W CC,VA,Norfolk,VA - Norfolk,37,20681.95,6498.54,4684.49,6,10
