DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Spokane,WA - Spokane,39,24563.15,7123.36,6196.59,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Spokane,WA - Spokane,61,19324.75,6751.85,5646.11,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Seattle,WA - Seattle,32,25061.03,6637.31,5505.06,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Spokane,WA - Spokane,27,21840.93,6576.63,4953.19,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Everett,WA - Everett,40,32824.95,7430.83,6437.15,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Seattle,WA - Seattle,50,15607.46,10063.08,5724.74,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Everett,WA - Everett,23,13817.96,6515.17,5483.87,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Seattle,WA - Seattle,25,41809.76,17560.76,13615.6,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Seattle,WA - Seattle,29,28612.69,6929.86,5888.62,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Yakima,WA - Yakima,35,26031.86,6654.54,5133.17,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Everett,WA - Everett,71,19491.32,7457.08,6158.13,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Seattle,WA - Seattle,20,25044.25,7015.15,5957.35,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Spokane,WA - Spokane,18,16561.28,6794.56,5598.78,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Olympia,WA - Olympia,15,25470.67,7123.87,5964.47,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Tacoma,WA - Tacoma,41,31083.2,7101.73,5692.17,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Olympia,WA - Olympia,63,33188.08,7782.67,6018.75,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Seattle,WA - Seattle,21,26298.48,6980.33,5844.52,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Seattle,WA - Seattle,62,29599.56,8833.26,6743.08,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Seattle,WA - Seattle,82,19725.51,7324.9,6187.55,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Seattle,WA - Seattle,25,19570.32,6690.24,5746.72,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Yakima,WA - Yakima,65,17250.02,7287.48,6140.6,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Seattle,WA - Seattle,54,31310.56,6692.43,5585.46,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Spokane,WA - Spokane,66,33406.79,7569.23,6435.39,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Seattle,WA - Seattle,59,19498.92,6222.88,4933.49,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Spokane,WA - Spokane,35,23433.37,6836.03,5965.06,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Spokane,WA - Spokane,53,24471.51,8611.43,6683.0,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Spokane,WA - Spokane,99,23230.2,7110.7,5801.59,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Everett,WA - Everett,16,17897.44,8059.19,5896.25,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Seattle,WA - Seattle,23,18855.87,10318.35,8924.78,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Seattle,WA - Seattle,46,11368.52,6515.41,5184.0,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Spokane,WA - Spokane,53,20453.38,6902.23,5529.64,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Tacoma,WA - Tacoma,41,32269.9,7084.27,5690.27,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Seattle,WA - Seattle,17,18564.65,7677.76,6190.59,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Tacoma,WA - Tacoma,37,34272.35,7622.76,6176.43,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Spokane,WA - Spokane,53,27381.45,6425.89,5366.04,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Seattle,WA - Seattle,42,28021.83,6896.9,5784.71,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Tacoma,WA - Tacoma,43,30503.09,7996.77,6941.14,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Olympia,WA - Olympia,20,19485.6,6381.8,5315.2,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Seattle,WA - Seattle,26,33756.85,7039.65,5989.81,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Tacoma,WA - Tacoma,42,28579.24,7109.95,5190.45,2,2
194,SIMPLE PNEUMONIA & PLEURISY W CC,WA,Seattle,WA - Seattle,14,22980.64,6163.64,5179.93,2,2
