DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Milwaukee,WI - Milwaukee,52,46671.73,6480.75,5480.12,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Milwaukee,WI - Milwaukee,103,35592.23,6458.24,5316.89,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Green Bay,WI - Green Bay,16,13951.88,6184.63,4546.63,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,La Crosse,WI - La Crosse,59,12581.44,7555.27,6604.69,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Marshfield,WI - Marshfield,11,11245.55,5523.64,4627.27,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,La Crosse,WI - La Crosse,49,17687.04,6654.41,5477.43,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Milwaukee,WI - Milwaukee,69,20487.52,5750.14,4421.51,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Appleton,WI - Appleton,14,24452.64,10709.14,9145.43,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Marshfield,WI - Marshfield,52,11284.17,6902.19,5296.5,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Marshfield,WI - Marshfield,20,18465.75,6439.4,5501.0,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Milwaukee,WI - Milwaukee,91,21510.9,6249.58,5291.47,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Milwaukee,WI - Milwaukee,31,23921.35,6053.71,5086.71,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Madison,WI - Madison,25,21777.88,6517.68,5510.16,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Wausau,WI - Wausau,48,14985.54,6164.0,4791.23,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Marshfield,WI - Marshfield,18,13228.44,5501.94,4524.39,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Green Bay,WI - Green Bay,17,13589.18,7773.94,5673.71,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Milwaukee,WI - Milwaukee,58,15993.16,6347.26,5168.07,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Marshfield,WI - Marshfield,56,21423.79,7327.84,5920.18,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Milwaukee,WI - Milwaukee,26,20098.85,5380.27,4374.42,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Madison,WI - Madison,15,12753.87,6186.47,5187.27,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Milwaukee,WI - Milwaukee,20,15208.2,5515.85,4395.05,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Neenah,WI - Neenah,16,8160.94,5911.25,4554.13,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Neenah,WI - Neenah,20,12814.5,6007.3,5010.3,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Green Bay,WI - Green Bay,38,16117.97,5689.16,4638.53,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Milwaukee,WI - Milwaukee,33,18098.67,8025.0,6404.55,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Madison,WI - Madison,40,18398.03,7467.15,6481.6,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Milwaukee,WI - Milwaukee,59,20147.63,5508.85,4539.9,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Milwaukee,WI - Milwaukee,16,16563.0,5397.5,4311.5,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Milwaukee,WI - Milwaukee,32,22038.25,5783.41,4412.63,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Madison,WI - Madison,51,22686.55,6633.8,4964.94,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Madison,WI - Madison,24,13125.83,6095.5,4900.83,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Green Bay,WI - Green Bay,31,21929.94,6284.55,5398.87,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Madison,WI - Madison,16,25443.44,6011.63,4846.88,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Milwaukee,WI - Milwaukee,27,19187.96,6735.3,5708.15,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Madison,WI - Madison,88,21524.44,6891.97,5686.35,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,La Crosse,WI - La Crosse,21,17983.71,7202.0,5878.1,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Milwaukee,WI - Milwaukee,45,18255.6,6012.89,5038.6,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Madison,WI - Madison,48,21889.0,7639.96,6116.4,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Marshfield,WI - Marshfield,16,16204.94,7152.5,5914.5,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Milwaukee,WI - Milwaukee,71,16066.73,6681.14,5438.17,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Green Bay,WI - Green Bay,13,14555.62,5768.31,4618.77,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Madison,WI - Madison,72,24420.86,11092.47,6770.89,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Madison,WI - Madison,32,26227.44,5793.44,4858.06,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Milwaukee,WI - Milwaukee,67,19273.63,5825.37,4825.55,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Milwaukee,WI - Milwaukee,30,19065.27,5879.4,4145.97,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Green Bay,WI - Green Bay,18,14812.89,6134.61,4469.5,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Madison,WI - Madison,41,24347.54,6896.17,5986.02,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Green Bay,WI - Green Bay,20,16224.8,5975.35,4980.55,3,7
194,SIMPLE PNEUMONIA & PLEURISY W CC,WI,Madison,WI - Madison,29,16651.14,6443.76,5408.59,3,7
