DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column
194,SIMPLE PNEUMONIA & PLEURISY W CC,WV,Huntington,WV - Huntington,154,19686.38,6123.85,4916.4,4,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,WV,Huntington,WV - Huntington,32,18551.84,5890.56,4781.38,4,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,WV,Huntington,WV - Huntington,40,37493.28,5717.98,4786.95,4,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,WV,Morgantown,WV - Morgantown,25,10367.08,9571.12,8523.28,4,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,WV,Morgantown,WV - Morgantown,15,12070.87,6880.33,6049.13,4,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,WV,Morgantown,WV - Morgantown,65,21387.35,9424.38,6581.49,4,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,WV,Charleston,WV - Charleston,83,14262.84,6074.61,5158.66,4,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,WV,Morgantown,WV - Morgantown,131,16513.34,6451.9,4911.25,4,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,WV,Huntington,WV - Huntington,201,20031.83,6705.23,4990.87,4,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,WV,Huntington,WV - Huntington,65,18677.05,6114.72,4186.05,4,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,WV,Charleston,WV - Charleston,218,23087.91,7161.09,5194.99,4,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,WV,Morgantown,WV - Morgantown,39,17611.87,5165.36,3695.28,4,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,WV,Charleston,WV - Charleston,22,18370.45,6151.36,4228.82,4,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,WV,Morgantown,WV - Morgantown,33,9126.21,5693.48,4290.64,4,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,WV,Charleston,WV - Charleston,30,10545.3,5999.1,4713.57,4,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,WV,Morgantown,WV - Morgantown,14,14242.5,6322.36,5443.0,4,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,WV,Charleston,WV - Charleston,88,20025.63,6772.56,5411.23,4,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,WV,Huntington,WV - Huntington,52,24918.12,8854.79,7219.06,4,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,WV,Charleston,WV - Charleston,92,16606.46,5422.72,4130.68,4,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,WV,Charleston,WV - Charleston,23,13302.43,5838.74,4817.3,4,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,WV,Charleston,WV - Charleston,85,16136.71,6071.58,4594.24,4,9
194,SIMPLE PNEUMONIA & PLEURISY W CC,WV,Charleston,WV - Charleston,43,12364.37,6224.51,5195.44,4,9
